,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM)
161,24.363,-0.4518,-0.643,0.2113,0.0202,0.0
162,24.623,-0.4416,-0.6224,0.2058,0.0229,0.0
163,24.882,-0.4602,-0.7217,0.2082,0.0241,0.0
164,25.141,-0.4976,-0.6631,0.2175,0.0267,0.0
165,25.401,-0.4484,-0.65,0.2122,0.0233,0.0
166,25.661,-0.4535,-0.6615,0.2122,0.0218,0.0
167,25.921,-0.5146,-0.5735,0.2066,0.0204,0.0
168,26.182,-0.4874,-0.6934,0.2085,0.0227,0.0
169,26.443,-0.4518,-0.6517,0.2031,0.022,0.0
170,26.705,-0.4475,-0.6696,0.2167,0.0229,0.0
171,26.967,-0.4942,-0.7217,0.2062,0.0232,0.0
172,27.228,-0.4518,-0.6517,0.2136,0.0236,0.0
173,27.49,-0.5163,-0.6338,0.207,0.0252,0.0
174,27.752,-0.4263,-0.6468,0.2104,0.0231,0.0
175,28.014,-0.5163,-0.7244,0.2066,0.0218,0.0
176,28.277,-0.5095,-0.738,0.2058,0.0225,0.0
177,28.541,-0.4933,-0.7152,0.2058,0.0241,0.0
178,28.804,-0.4942,-0.5588,0.2058,0.0235,0.0
179,29.067,-0.4535,-0.6435,0.2097,0.0218,0.0
180,29.331,-0.4484,-0.6696,0.207,0.0245,0.0
181,29.595,-0.4178,-0.6569,0.2148,0.0234,0.0
182,29.859,-0.4342,-0.6452,0.2082,0.0216,0.0
183,30.124,-0.4314,-0.6598,0.2082,0.0239,0.0
184,30.389,-0.4976,-0.7185,0.2062,0.0245,0.0
185,30.654,-0.4399,-0.6517,0.207,0.0201,0.0
186,30.919,-0.4212,-0.6496,0.2097,0.023,0.0
187,31.184,-0.4342,-0.6517,0.2113,0.0218,0.0
188,31.45,-0.5061,-0.6314,0.2085,0.0254,0.0
189,31.716,-0.4959,-0.7222,0.2081,0.0221,0.0
190,31.982,-0.4365,-0.5602,0.2128,0.0251,0.0
191,32.248,-0.4571,-0.6647,0.2097,0.0257,0.0
192,32.516,-0.4518,-0.6615,0.2128,0.0238,0.0
193,32.783,-0.4382,-0.6598,0.2052,0.0222,0.0
194,33.05,-0.4874,-0.728,0.2109,0.0214,0.0
195,33.318,-0.438,-0.65,0.2093,0.0241,0.0
196,33.586,-0.4602,-0.6647,0.2085,0.0224,0.0
197,33.854,-0.4467,-0.6647,0.2126,0.024,0.0
198,34.122,-0.501,-0.6533,0.205,0.0213,0.0
199,34.392,-0.4518,-0.6615,0.2047,0.024,0.0
