,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A)
357,91.377129,29.3267,24.656,4.6707,2619.4289,21.1701,66.17129119999996,66.17129119999996,9.4666,0.11,2.776099999999998,0.0,15.121,24.125711184793225,2555.78511159385,0.0,1.2,0.0472,1.1982,38.49010130898946,18.15117907055888,11.342880119999998,0.4715804441470676,0.6249114768746947,9.674538720123142,29.50841403515827,24.80990122224359,0.0472,1.3758991464352208
358,91.577643,29.0848,24.5491,4.535700000000002,2622.989,21.1428,65.53265199999997,65.53265199999997,9.4393,0.121,2.776099999999998,0.0,15.121,24.09760083813731,2588.8669722544028,0.0,1.2,0.0472,1.1845,37.19887880137015,18.000427947873412,11.18085085,0.48389705625241586,0.6211436129395422,9.715430551391933,29.537057513767923,24.832140527511694,0.0472,1.3813575447936668
359,91.820131,29.163,24.5772,4.585799999999999,2622.989,21.1428,66.55820399999996,66.55820399999996,9.3928,0.109,2.776099999999998,0.0,15.121,24.0433516747488,2613.8368784413174,0.0,1.2,0.0472,1.2065,37.65964568839478,18.282125305135825,11.332413199999998,0.4854566465230886,0.6198630088601619,9.72268597395418,29.50939978810517,24.80986572584858,0.0472,1.3846523713088947
360,92.077525,29.2626,24.4214,4.841200000000001,2622.7355,21.2734,65.50468239999995,65.50468239999995,9.4523,0.118,2.776099999999998,0.0,15.121,23.96483564624815,2631.8521862739776,0.0,1.2,0.0472,1.1839,40.255679681021604,17.991006375382245,11.190577969999998,0.44691846015120296,0.6220095605831409,9.707158974227754,29.445177495882053,24.759075858796905,0.0472,1.3852508852565761
361,92.318149,29.0689,24.4837,4.5852,2622.7355,21.2734,67.26676719999996,67.26676719999996,9.424,0.11,2.776099999999998,0.0,15.121,23.873027363695137,2643.2883119199864,0.0,1.2,0.0472,1.2217,37.886718714090996,18.47496687575045,11.5133008,0.4876370269795668,0.6231838399186483,9.679510736353244,29.363529535205675,24.69508716043036,0.0472,1.383200404322867
362,92.548485,29.2724,24.733,4.5394000000000005,2621.081,21.2238,67.14556559999997,67.14556559999997,9.4342,0.119,2.776099999999998,0.0,15.121,23.78261656669842,2649.0761224966886,0.0,1.2,0.0472,1.2191,37.37555016663866,18.430045024917742,11.501233220000001,0.49310431398996135,0.6240480261686899,9.648834186282905,29.28075069460006,24.630471426468574,0.0472,1.3790935702897296
363,92.766944,29.4123,24.6884,4.723899999999997,2621.081,21.2238,66.02211999999997,66.02211999999997,9.4406,0.11,2.776099999999998,0.0,15.121,23.697985038302644,2651.302682295361,0.0,1.2,0.0472,1.195,39.07888704188436,18.121682844838855,11.281517000000001,0.4637205462227268,0.6225424590306762,9.62186657580486,29.20901283953718,24.57421889235337,0.0472,1.3739177077566977
364,93.018299,29.2809,24.8027,4.4781999999999975,2623.0488,21.1766,69.21997759999996,69.21997759999996,9.4353,0.12,2.776099999999998,0.0,15.121,23.624329476157282,2651.559370648348,0.0,1.2,0.0472,1.2636,36.72867722139452,19.013691463690996,11.922445080000001,0.5176797233692775,0.6270452585584125,9.602715605306367,29.156102731012624,24.53215346374248,0.0472,1.3688335721031897
365,93.262014,29.1813,24.5467,4.634599999999999,2623.0488,21.1766,67.44390799999996,67.44390799999996,9.4258,0.11,2.776099999999998,0.0,15.121,23.56634867306037,2650.899740287184,0.0,1.2,0.0472,1.2255,38.169378745628606,18.525831736437326,11.5513179,0.48535848225088074,0.6235249280214729,9.592995367949994,29.12587401969851,24.507684510089067,0.0472,1.3649428342538603
366,93.488778,29.2546,24.4031,4.8515000000000015,2617.957,21.2731,64.69822559999997,64.69822559999997,9.389,0.118,2.776099999999998,0.0,15.121,23.52533213780956,2650.0696923442297,0.0,1.2,0.0472,1.1666,40.35042431045032,17.737136016960932,10.9532074,0.4395774349358504,0.6175296501941532,9.592245871608581,29.118638919931524,24.501932038003247,0.0472,1.3631017551810594
367,93.728339,29.4257,24.7941,4.631599999999999,2617.957,21.2731,65.96618079999996,65.96618079999996,9.427,0.109,2.776099999999998,0.0,15.121,23.49980377327972,2649.55268298839,0.0,1.2,0.0472,1.1938,38.31555255127864,18.084748237191786,11.2539526,0.47199497418152914,0.6222897024828875,9.5984928639905,29.131430155546152,24.513239910693464,0.0472,1.3637296115166746
368,93.95824,29.1691,24.4257,4.743400000000001,2620.277,21.1306,65.94287279999996,65.94287279999996,9.468,0.122,2.776099999999998,0.0,15.121,23.486938740631032,2649.591461258989,0.0,1.2,0.0472,1.1933,39.08651698010897,18.094379116514823,11.298164400000001,0.462931479050001,0.6244018834383831,9.608899936763098,29.158828623328123,24.53710988522275,0.0472,1.3666195753891655
369,94.202809,29.254,24.6218,4.632200000000001,2620.277,21.1306,66.96376319999996,66.96376319999996,9.413,0.109,2.776099999999998,0.0,15.121,23.483683333572,2650.2253396471524,0.0,1.2,0.0472,1.2152,38.064406950904726,18.374506098395575,11.4386776,0.482721460026815,0.6225297996444543,9.620509429314549,29.19433864751653,24.567251056436405,0.0472,1.3709507482223544
370,94.432047,29.4379,24.565,4.872899999999998,2620.0539,21.2974,66.72135999999996,66.72135999999996,9.4342,0.118,2.776099999999998,0.0,15.121,23.487341924112215,2651.344581803289,0.0,1.2,0.0472,1.21,40.59476984553574,18.306433119560072,11.415382000000001,0.4509554602530468,0.6235721576915432,9.630906580248915,29.231594212996814,24.5971434326178,0.0472,1.3755918784792491
371,94.668119,29.3225,24.6108,4.7117,2620.0539,21.2974,69.23396239999997,69.23396239999997,9.4493,0.109,2.776099999999998,0.0,15.121,23.4957773862609,2652.755072366445,0.0,1.2,0.0472,1.2639,39.10138184053785,18.995819363959857,11.94297027,0.4858094131155792,0.6287157211369889,9.638567884732215,29.265286690360504,24.62134135389734,0.0472,1.3795241940463228
372,94.898819,29.2363,24.5455,4.690799999999999,2615.5075,21.3083,67.95202239999996,67.95202239999996,9.4342,0.118,2.776099999999998,0.0,15.121,23.50747347084041,2654.2426578476375,0.0,1.2,0.0472,1.2364,38.927673169369704,18.61173987347903,11.66444488,0.4781107720592893,0.6267251186237218,9.642888980910936,29.291970584699342,24.63635960801475,0.0472,1.3821810946811366
373,95.13748,29.2565,24.6438,4.6127,2615.5075,21.3083,69.75606159999995,69.75606159999995,9.4814,0.109,2.776099999999998,0.0,15.121,23.521485943090564,2655.6274483961192,0.0,1.2,0.0472,1.2751,38.20376934668107,19.10585773967457,12.08973314,0.500103996710324,0.6327762566186639,9.644058933240009,29.310290339569164,24.64104179002929,0.0472,1.3836031257437102
374,95.371789,29.254,24.766,4.488000000000003,2626.5888,21.2242,65.58392959999996,65.58392959999996,9.3755,0.12,2.776099999999998,0.0,15.121,23.53715642395421,2656.7991317093956,0.0,1.2,0.0472,1.1856,36.90171167272928,18.03923600109266,11.1155928,0.48884550833515483,0.616189776514189,9.642853326148389,29.320406680213154,24.63641073430034,0.0472,1.3843551348103962
375,95.607672,29.2638,24.6194,4.644400000000001,2626.5888,21.2242,70.60447279999997,70.60447279999997,9.4336,0.109,2.776099999999998,0.0,15.121,23.553604593316138,2657.7250217273295,0.0,1.2,0.0472,1.2933,38.34565155404396,19.42016520418941,12.20047488,0.5064502601245107,0.6282374403987077,9.640317720113595,29.323236043068103,24.625278114036934,0.0472,1.3852269219828506
376,95.837713,29.2223,24.3952,4.8271000000000015,2620.8129,21.196,69.49501199999997,69.49501199999997,9.4589,0.12,2.776099999999998,0.0,15.121,23.569301690336854,2658.4308238017366,0.0,1.2,0.0472,1.2695,39.979212366222825,19.07296753181101,12.00807355,0.47707211830729207,0.6295860111947569,9.637401336787242,29.320028236647367,24.61157627192047,0.0472,1.386900984219947
377,96.078698,29.3762,24.5674,4.8088000000000015,2620.8129,21.196,63.91973839999996,63.91973839999996,9.413,0.11,2.776099999999998,0.0,15.121,23.582181879320792,2658.9710109690973,0.0,1.2,0.0472,1.1499,39.81048480313574,17.542828759351146,10.8240087,0.44065850607198215,0.6170047515415835,9.63474545669666,29.312237255444813,24.59910365704015,0.0472,1.389777708109036
378,96.30819,29.1025,24.5552,4.5473,2621.6621,21.6081,67.45789279999997,67.45789279999997,9.4606,0.117,2.776099999999998,0.0,15.121,23.59040606469249,2659.4087803415564,0.0,1.2,0.0472,1.2258,38.126565233766804,18.51987726151728,11.59680348,0.4857473299250976,0.6261814436587636,9.632705376669565,29.301489643964178,24.59013055534064,0.0472,1.3938790339545801
379,96.546408,29.3121,24.689,4.623100000000001,2621.6621,21.6081,65.68182319999997,65.68182319999997,9.4758,0.11,2.776099999999998,0.0,15.121,23.59318928616989,2659.805402799139,0.0,1.2,0.0472,1.1877,38.83903562420133,18.032275446005006,11.25440766,0.46428226541157364,0.6241257623697944,9.631461851302603,29.289462460799683,24.584953309614978,0.0472,1.3987233032117172
380,96.752712,29.3243,24.5161,4.808199999999999,2631.4887,21.0015,64.69822559999997,64.69822559999997,9.5091,0.118,2.776099999999998,0.0,15.121,23.590989327787067,2660.2094315211702,0.0,1.2,0.0472,1.1666,39.43969216921844,17.828815751746767,11.093316060000001,0.4520526092153846,0.6222127265470866,9.631142113786371,29.277623564891563,24.58263416546844,0.0472,1.4033431200788349
381,97.017477,29.2534,24.6835,4.5699000000000005,2631.4887,21.0015,64.74950319999996,64.74950319999996,9.4088,0.11,2.776099999999998,0.0,15.121,23.58508241141961,2660.648379549227,0.0,1.2,0.0472,1.1677,37.26270740040423,17.842946261109475,10.98665576,0.47884191745326354,0.6157422434178675,9.631933746900055,29.26711608565407,24.582032245441347,0.0472,1.4065399304967297
382,97.24754,29.254,24.5216,4.732400000000002,2622.9145,21.2036,63.60274959999996,63.60274959999996,9.4639,0.12,2.776099999999998,0.0,15.121,23.577023643005287,2661.1261600807115,0.0,1.2,0.0472,1.1431,39.1200920803532,17.469828534612386,10.81818409,0.4465692079335887,0.6192495861402586,9.634054788039021,29.25886157282335,24.58235458764222,0.0472,1.407196622772396
383,97.487899,29.2754,24.5644,4.711000000000002,2622.9145,21.2036,64.65627119999996,64.65627119999996,9.4824,0.11,2.776099999999998,0.0,15.121,23.568247801735748,2661.620837002825,0.0,1.2,0.0472,1.1657,38.92271150542051,17.75920032789584,11.053633679999999,0.45626832358333086,0.6224173091080653,9.637551718814253,29.253536180539264,24.58318906706131,0.0472,1.4045175819915852
384,97.717612,29.2259,24.6542,4.5717,2622.3776,21.1181,66.96376319999996,66.96376319999996,9.5179,0.122,2.776099999999998,0.0,15.121,23.55983159786366,2662.084585759133,0.0,1.2,0.0472,1.2152,37.48612452912606,18.38923640649288,11.56615208,0.49056115129225397,0.628963151287577,9.64218376336922,29.251361393463437,24.584296385487455,0.0472,1.3982126281919314
385,97.959398,29.309,24.6182,4.690799999999999,2622.3776,21.1181,68.86569599999996,68.86569599999996,9.4878,0.109,2.776099999999998,0.0,15.121,23.552416635976428,2662.455738151464,0.0,1.2,0.0472,1.256,38.58020089627358,18.911535187461972,11.9166768,0.4901875767393585,0.6301274159858029,9.647569487780865,29.25200014202804,24.5854765631402,0.0472,1.3886684195540842
386,98.19202,29.4495,24.8088,4.640699999999999,2629.3737,21.3047,67.32270639999996,67.32270639999996,9.4161,0.118,2.776099999999998,0.0,15.121,23.546237624202192,2662.682676215175,0.0,1.2,0.0472,1.2229,38.456801219237796,18.537130126133555,11.51494869,0.48202475344882456,0.6211829237669472,9.653391332583968,29.254735261206022,24.58671805180176,0.0472,1.3770711282097716
