,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM)
335,79.936033,41.8707,35.6201,6.250599999999999,3221.8664,25.9501,73.22895359999995,73.22895359999995,11.6959,0.108,6.510070623767675,3400.0,35.12,25.208464808749703,3258.1317801894334,8.21434165892149,2.4368697371609853,2.2008,1.3496,65.0148241651277,24.706940739417053,15.784786639999998,0.3800201116696894,0.63888066136886,12.225054412705612,41.63007062376767,35.51351319904173,2.2008,1.486249510585529,25.586578046369645
336,80.165794,41.8426,35.6568,6.1858,3198.3488,25.6697,73.32218559999995,73.32218559999995,11.6523,0.112,6.510363821161164,3400.0,35.12,25.16599627805392,3249.1029773660653,8.21434165892149,2.4368697371609853,2.2008,1.3516,63.58875221427777,24.557821820606343,15.74924868,0.38619757371323765,0.641312930562306,12.183007144951148,41.63036382116116,35.51646364837672,2.2008,1.49515559226763,25.600178554844394
337,80.397791,41.5347,35.438,6.0966999999999985,3198.3488,25.6697,74.00744079999997,74.00744079999997,11.757,0.11,6.519725301567114,3400.0,35.12,25.13953007686561,3240.029918296272,8.30798392494579,2.4158851831518993,2.2008,1.3663,62.59385198559682,24.787334552196878,16.0635891,0.39600270259610443,0.6480563315984413,12.141363556155135,41.63972530156711,35.52325076080226,2.2008,1.5046858218245311,25.614306899600212
338,80.632005,41.5292,35.4729,6.0563,3207.1567,25.7546,76.73913839999997,76.73913839999997,11.6405,0.119,6.5370249060317605,3400.0,35.12,25.128599285855735,3231.0884706615616,8.30798392494579,2.4158851831518993,2.2008,1.4249,62.34827220488225,25.773044054775294,16.58654845,0.4133722257784893,0.6435618708736426,12.099978577347661,41.65702490603176,35.5340232516441,2.2008,1.5144507095139412,25.628813116695913
339,80.872126,41.8634,35.5993,6.264099999999999,3207.1567,25.7546,75.11223999999996,75.11223999999996,11.6327,0.11,6.559540679560541,3400.0,35.12,25.133268834395068,3222.5220410361176,8.30798392494579,2.4158851831518993,2.2008,1.39,64.67626368138387,25.22664589328846,16.169452999999997,0.3900448859810927,0.6409672165058564,12.058975608505449,41.67954067956054,35.54772149445545,2.2008,1.5239428876245202,25.643548939541976
340,81.101145,41.3264,35.3372,5.989199999999997,3199.6586,25.6463,73.48534159999997,73.48534159999997,11.546,0.111,6.5831901680274,3400.0,35.12,25.15169266140766,3214.5285198108554,8.30798392494579,2.4158851831518993,2.2008,1.3551,61.337530250419675,24.62254710073555,15.645984599999998,0.4014271034423835,0.6354332285766084,12.018916523712353,41.7031901680274,35.56212606559995,2.2008,1.5326826778793174,25.658365860280124
341,81.334624,41.4681,35.5089,5.959200000000003,3199.6586,25.6463,80.13278319999996,80.13278319999996,11.6999,0.109,6.603377262875561,3400.0,35.12,25.179988358976253,3207.216418602906,8.30798392494579,2.4158851831518993,2.2008,1.4977,61.00285237265745,26.849888504226946,17.52294023,0.44014152551760904,0.6526261823113859,11.980596273473614,41.72337726287556,35.57442223435026,2.2008,1.5403498952726968,25.67311478537925
342,81.569599,41.4571,35.5303,5.9268,3199.0581,25.7813,74.90712959999996,74.90712959999996,11.6491,0.12,6.615778306037527,3400.0,35.12,25.212194015299918,3200.5584582436695,8.4,2.390285155455291,2.2008,1.3856,60.960611575301066,25.09423152531799,16.140992960000002,0.4116466498096161,0.6432152721518921,11.944812801358928,41.735778306037524,35.581909484051984,2.2008,1.5468411373889641,25.687646173634363
343,81.811913,41.776,35.5492,6.226800000000004,3199.0581,25.7813,80.02090479999997,80.02090479999997,11.6406,0.109,6.616916080750038,3400.0,35.12,25.240829834645556,3194.356254167451,8.4,2.390285155455291,2.2008,1.4953,64.32500751933702,26.807369640774887,17.40618918,0.416748799177617,0.6493061204156567,11.91237273188213,41.736916080750035,35.58268064899186,2.2008,1.5523271270135,25.701810875133177
344,82.040666,41.6758,35.6152,6.060600000000001,3180.4458,25.8268,75.28938079999996,75.28938079999996,11.4804,0.118,6.605062757393355,3400.0,35.12,25.262675757077584,3188.4645554927283,8.4,2.390285155455291,2.2008,1.3938,62.57136638701919,25.0755427409801,16.00138152,0.4007510813473649,0.638127026213853,11.88412613290268,41.72506275739335,35.57624096511516,2.2008,1.5572516480321648,25.715463003572637
