,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
115,55.869,6.2449,-1.0016,-3.5603,316.7795,5.7356,12.8564,3600.0,14.5926,0.0
116,56.291,5.4559,-3.7534,-5.5296,341.6757,4.2018,11.0908,3600.0,14.5926,0.0
117,56.713,8.0923,6.9867,5.4269,435.6389,6.913,14.8126,3600.0,14.5926,0.0
118,57.133,8.0927,6.6664,4.3368,412.175,6.4961,14.2248,3600.0,14.5926,0.0
119,57.552,5.9841,-0.5456,-2.2197,368.1419,4.5747,12.166,3600.0,14.5926,0.0
120,57.973,5.0983,-4.4444,-6.5336,259.7061,5.2327,11.8988,3600.0,14.5926,0.0
121,58.394,7.1844,3.383,1.9129,371.315,6.1734,13.3229,3600.0,14.5926,0.0
122,58.814,8.6753,8.4079,6.3794,579.168,7.3183,15.5161,3600.0,14.5926,0.0
123,59.234,8.0981,5.2516,1.9976,324.1216,5.658,12.9839,3600.0,14.5926,0.0
124,59.655,5.3472,-4.0406,-6.8552,303.8645,5.6757,12.4557,3600.0,14.5926,0.0
125,60.077,6.7692,1.5944,-0.0137,431.6311,6.9009,11.6987,3600.0,14.5926,0.0
126,60.497,8.3962,7.6934,5.7526,512.3682,7.0023,15.2326,3600.0,14.5926,0.0
127,60.916,8.4008,6.7377,4.7449,458.5058,6.2882,14.5878,3600.0,14.5926,0.0
128,61.335,6.8762,0.6318,-2.1191,365.349,4.5408,12.3613,3600.0,14.5926,0.0
129,61.756,5.2221,-4.3549,-6.4853,312.7841,3.7917,10.8937,3600.0,14.5926,0.0
130,62.178,7.4714,4.454,3.0057,381.2895,6.5115,14.5307,3600.0,14.5926,0.0
131,62.599,8.6564,6.7075,4.4646,461.3828,7.0758,12.5937,3600.0,14.5926,0.0
132,63.019,6.2086,-1.3145,-3.7167,396.8455,5.4253,9.9968,3600.0,17.0247,0.0
133,63.439,4.8109,-5.4054,-6.9274,328.6345,4.0437,10.4225,3600.0,14.5926,0.0
134,63.86,7.0543,3.1365,0.6519,305.369,5.7936,12.9508,3600.0,12.1605,0.0
135,64.279,8.5066,8.1801,5.117,499.6364,6.6603,14.774,3600.0,14.5926,0.0
136,64.699,8.3528,6.6465,3.8142,385.7881,6.4004,14.6538,3600.0,14.5926,0.0
137,65.119,6.3696,-2.1064,-4.2599,362.9026,5.883,13.1443,3600.0,14.5926,0.0
138,65.541,5.9146,-2.2449,-4.2075,395.0645,5.8308,13.1374,3600.0,14.5926,0.0
139,65.964,8.7736,8.9279,6.8905,492.4083,6.239,14.2623,3600.0,14.5926,0.0
140,66.383,7.344,3.9921,1.9174,460.5827,6.5656,11.58,3600.0,14.5926,0.0
141,66.802,5.5128,-3.0606,-4.3778,399.9449,5.6461,10.0895,3600.0,14.5926,0.0
142,67.223,5.0875,-4.2531,-5.4063,278.6321,5.7174,11.7947,3600.0,14.5926,0.0
143,67.645,8.2406,7.3507,5.746,437.5173,7.1832,15.0853,3600.0,14.5926,0.0
144,68.065,7.9531,6.0568,3.3569,380.4822,6.2959,14.5631,3600.0,14.5926,0.0
145,68.485,6.2987,-2.2478,-4.2703,331.3495,4.0779,11.328,3600.0,14.5926,0.0
146,68.908,6.1455,-0.8009,-2.1951,435.0801,6.1187,13.5469,3600.0,14.5926,0.0
147,69.329,8.824,9.151,6.9864,461.5418,7.2571,15.5943,3600.0,14.5926,0.0
148,69.748,7.8042,5.4256,3.9924,474.6111,6.4848,14.7484,3600.0,14.5926,0.0
149,70.167,6.6849,0.175,-2.6259,365.5756,4.5014,12.1439,3600.0,17.0247,0.0
150,70.588,5.2225,-4.3882,-6.3431,316.9773,3.8668,10.8633,3600.0,14.5926,0.0
151,71.01,7.6514,5.2461,3.8354,450.0414,5.7285,13.898,3600.0,14.5926,0.0
152,71.431,8.2481,6.4519,3.6785,401.8174,6.1979,14.486,3600.0,14.5926,0.0
153,71.851,5.8355,-1.8976,-3.9546,367.1806,5.8005,12.8495,3600.0,14.5926,0.0
154,72.272,5.7706,-3.1911,-5.4533,388.8293,5.4273,9.9465,3600.0,14.5926,0.0
155,72.692,7.1657,3.4427,1.1099,360.5356,6.3961,13.5167,3600.0,14.5926,0.0
