,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
123,38.334,36.4693,30.2429,111.3841,8.8185,2.4768,2880.4609,28.5794,6.226399999999998
124,38.661,36.7058,30.0514,113.1278,8.993,2.4722,2848.3718,27.143,6.6544000000000025
125,38.995,36.5933,30.0702,113.1835,8.93,2.5286999999999997,2965.208,27.3557,6.5230999999999995
126,39.322,36.5043,30.0415,113.4795,9.006400000000001,2.4945999999999997,2954.7917,27.6041,6.462800000000001
127,39.651,36.4865,30.2569,113.2617,8.9056,2.4818,2943.9665,28.3088,6.229599999999998
128,39.977,36.5519,30.0151,113.6298,9.049700000000001,2.4673,2895.9394,27.0364,6.536800000000003
129,40.31,36.3821,29.8379,113.9394,8.5387,2.5157,2768.5493,27.6323,6.5442
130,40.647,36.5382,30.077,114.1798,8.7844,2.4642,2944.9299,28.158,6.461200000000002
131,40.974,36.6664,30.1009,113.4448,8.932400000000001,2.4804,2936.4743,28.3539,6.565500000000004
132,41.302,36.3787,29.8054,113.6266,8.9395,2.4922,2946.6652,27.278,6.573300000000003
133,41.634,36.5836,29.8969,119.9609,8.8537,2.4777,2800.1618,27.7321,6.686699999999998
134,41.97,36.5317,30.2127,105.4568,8.935500000000001,2.5029,2978.9487,28.0239,6.318999999999999
135,42.297,36.5539,30.2603,111.4891,8.818200000000001,2.491,2727.2727,27.1501,6.293599999999998
136,42.642,36.4885,30.1042,122.0575,8.6204,2.4674,2798.3332,28.0336,6.384300000000003
137,42.978,36.5132,30.2991,110.7236,8.719000000000001,2.4858,2972.2587,28.0519,6.214099999999998
138,43.308,36.6515,30.0382,112.0446,8.7041,2.4811,2746.8334,27.0826,6.613299999999999
139,43.652,36.465,30.0349,122.2425,8.6301,2.4625,2836.0747,27.2362,6.430100000000003
140,43.991,36.3983,29.8797,113.9655,8.766300000000001,2.503,2803.5634,28.7834,6.518599999999999
141,44.325,36.5721,30.3552,113.4977,8.6616,2.4857,2942.9074,27.0514,6.216899999999999
