t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g ()
142.4905807391,47.6255217391,12.5123913043,35.1131304348,2961.0629434783,25.6997478261,8.0354434783,112.8866035478,9.9896913043,5.6794,2.2003304348,387.0446174581,2.4916424022,21.9796940509,0.0064378653,8.8217329925
167.7402307826,47.2395,12.4050826087,34.8344173913,2784.7271695652,25.6515913043,8.0221347826,121.7422248,8.9015,5.6794,2.3903,383.2167442418,2.339413987,21.2769097352,0.0061055369,9.0967428399
183.7572896087,46.8962913043,12.3301826087,34.5661086957,2549.0579043478,25.4001478261,8.0004652174,130.7087110609,7.6005782609,5.6798,2.5826478261,376.4892764749,2.1356483493,19.6294096539,0.005672719,9.1919185842
200.9994384348,46.7525391304,12.3219565217,34.4305826087,2286.4034652174,25.5672869565,8.0081565217,139.056217913,6.1360521739,5.6798,2.7617173913,377.4621881502,1.9174211992,16.9457491396,0.0050804865,8.8383263684
215.6345972174,46.6031652174,12.3332956522,34.2698695652,1987.7155869565,25.5121695652,8.0193391304,147.8283357217,4.4817652174,5.6798,2.9498956522,374.8628549758,1.6692425088,13.2208361465,0.0044531785,7.9215474807
230.8502442,46.54302,12.314528,34.228492,1906.802988,25.572692,7.984784,151.3900008,3.996168,5.6798,3.0263,375.2932873745,1.5943903452,12.09230829,0.0042488307,7.5844703037
286.2815949565,47.9856347826,12.3250347826,35.6606,4098.8503652174,25.5421695652,7.9703695652,71.8866154783,16.4863826087,5.6798,1.3208043478,390.7555562798,3.4211144245,21.7748532496,0.0087558499,6.3651473056
297.0664867826,47.8143956522,12.2215521739,35.5928434783,4236.3841043478,25.4343913043,8.0004608696,67.4386383652,17.2833913043,5.6798,1.2253869565,388.3558073957,3.5492340759,21.1788844778,0.0091397011,5.9681554195
201.4943671304,47.9166173913,11.7297217391,36.1868956522,3401.9539086957,25.1974086957,8.0109565217,129.8986060522,11.5154695652,7.4887,2.5652695652,391.2507075974,2.8538386978,29.5411028374,0.0072947499,10.351806085
389.7097928261,50.1151478261,12.4356434783,37.6795043478,3355.7035869565,24.613773913,7.9997608696,121.6165642783,11.4635608696,7.8025,2.3876043478,398.1703155004,2.8111825679,27.3708327809,0.0070610165,9.7380865867
414.5684223478,50.1861043478,12.4198086957,37.7662956522,3503.3794826087,24.3319826087,7.9948652174,112.8168822261,12.386773913,7.8025,2.1988347826,394.529532104,2.9331184853,27.2366166283,0.007435168,9.2869685143
547.0944503043,52.7303521739,14.1968956522,38.5334565217,1846.9622130435,27.4861652174,8.0144608696,124.9950082087,4.1310478261,0.0603,2.4600782609,454.8445394853,1.5501031348,10.162799723,0.0034081779,6.5567543729
612.0626015652,54.285973913,13.9042478261,40.381726087,3164.1740434783,27.4483695652,8.0053565217,125.5006904696,10.3617913043,5.7357,2.470926087,476.2852668369,2.6525951783,25.60322813,0.0055697273,9.6552291997
641.0641106087,56.0426347826,13.4501391304,42.5924956522,3919.6358565217,26.6118304348,8.0039478261,126.5738718609,13.9267173913,8.0243,2.4939478261,487.3620555702,3.28533604,34.732968517,0.0067415909,10.5738123742
694.3237476522,52.8299652174,14.2152826087,38.6146826087,1919.6412782609,27.4536913043,8.0088478261,125.4802199652,4.4465695652,0,2.4704869565,455.2775988374,1.6099669004,10.9850848796,0.0035363788,6.8238880635
