,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A)
921,218.394689,44.174,38.0767,6.097299999999997,3201.0788,26.7636,86.04835359999997,86.04835359999997,11.2076,0.11,5.638999999999996,2912.3813,32.1469,25.836210567770777,3123.195898721332,0.0,1.3299,0.0,1.6246,65.26823936982589,28.844801049217878,18.20786696,0.4419423800568013,0.6312356576470027,11.429723980673959,44.33220197877602,37.98755954273612,0.0,1.8017677564737762
922,218.600925,44.4544,37.9362,6.5182,3196.4948,26.7636,88.68681919999997,88.68681919999997,11.2211,0.116,5.638999999999996,2912.3813,32.1469,25.833965983886422,3120.928261029923,0.0,1.3299,0.0,1.6812,70.16833425428801,29.686684620044016,18.86491332,0.4230780869396205,0.6354671652105836,11.435733026950247,44.31085759467597,37.98915169919762,0.0,1.797497075043639
923,218.839133,44.4098,38.2038,6.205999999999996,3196.4948,26.6741,83.31665599999997,83.31665599999997,11.1849,0.115,5.638999999999996,2912.3813,32.1469,25.81429391233645,3119.3970857864297,0.0,1.3299,0.0,1.566,66.31122382726583,27.88909685317362,17.5155534,0.420578828794081,0.6280430482282481,11.442353540719234,44.291149807249035,37.98834925022399,0.0,1.7941449874921334
924,219.104301,44.4923,38.3034,6.188899999999997,3190.9462,26.6741,86.39331199999997,86.39331199999997,11.2383,0.112,5.638999999999996,2912.3813,32.1469,25.779346918316676,3118.123003428769,0.0,1.3299,0.0,1.632,66.11281229140474,28.868766180642986,18.3409056,0.4366591766418653,0.6353200370682243,11.448341747984557,44.27397748389247,37.98565519575021,0.0,1.7922095252288908
925,219.338929,44.3616,37.8366,6.525000000000006,3190.9462,26.8089,84.42145519999997,84.42145519999997,11.2735,0.116,5.638999999999996,2912.3813,32.1469,25.46550126267031,3120.1701104534873,0.0,1.3299,0.0,1.5897,70.36640021964268,28.20986016600946,17.921482949999998,0.40089957817871597,0.6352914493207555,11.452496998656718,44.261304613877265,37.98303621959293,0.0,1.7918123341864711
926,219.547668,44.064,37.8366,6.227400000000003,3188.5585,26.8089,87.58201999999997,87.58201999999997,11.2135,0.111,5.638999999999996,2912.3813,32.1469,26.02940274134532,3123.7359522291918,0.0,1.3299,0.0,1.6575,66.89589297645975,29.244080074202145,18.58637625,0.4371580791139593,0.6355602981129878,11.453998114300743,44.25564983012892,37.98322544168772,0.0,1.7926207412015311
927,219.809518,44.3652,37.9918,6.373400000000004,3188.5585,26.9139,83.82010879999997,83.82010879999997,11.1617,0.116,5.638999999999996,2912.3813,32.1469,25.679879963257715,3135.7880957291172,0.0,1.3299,0.0,1.5768,68.86716750871621,27.987958870730953,17.59976856,0.40640496601212245,0.628833586660918,11.452672839261671,44.25860570571833,37.98804429677591,0.0,1.7940045603081411
928,220.04657,44.3634,38.1806,6.1828,3184.2265,26.9139,84.79438319999996,84.79438319999996,11.1452,0.112,5.638999999999996,2912.3813,32.1469,25.565937862453914,3135.671667773045,0.0,1.3299,0.0,1.5977,66.63575139842763,28.274807396564295,17.80668604,0.4243188799283425,0.6297721427507835,11.448891968273296,44.26954749998186,37.997059263579594,0.0,1.7952882173957514
929,220.280888,44.353,38.1085,6.244500000000002,3184.2265,26.88,84.87363039999997,84.87363039999997,11.2478,0.116,5.638999999999996,2912.3813,32.1469,25.71216180317703,3134.4768428879493,0.0,1.3299,0.0,1.5994,67.27325095845995,28.30123248785168,17.98973132,0.4206907215666921,0.635651868791301,11.44318053283494,44.28574014402086,38.00804643565139,0.0,1.7958960662245091
930,220.48934,44.3988,38.0743,6.3245000000000005,3183.902,26.88,84.37017759999996,84.37017759999996,11.0941,0.112,5.638999999999996,2912.3813,32.1469,25.669671933785345,3132.4316082932564,0.0,1.3299,0.0,1.5886,68.20865724622857,28.130488407025794,17.62408726,0.4124181525151076,0.6265119540405226,11.435959149562823,44.30367410609539,38.01870205597136,0.0,1.795392675029955
931,220.723529,44.5668,38.0731,6.493700000000004,3183.902,26.9157,85.75001119999997,85.75001119999997,11.2405,0.114,5.638999999999996,2912.3813,32.1469,25.71631074136115,3131.265984725905,0.0,1.3299,0.0,1.6182,70.28025870941102,28.590548989954147,18.1893771,0.40680767992286393,0.6362024425061302,11.427564731133605,44.32045377821636,38.02785988864382,0.0,1.7935303235675857
932,220.989145,44.4575,38.1281,6.3294,3192.25,26.9157,84.19303679999997,84.19303679999997,11.2538,0.112,5.638999999999996,2912.3813,32.1469,25.72407624801829,3128.799450642295,0.0,1.3299,0.0,1.5848,68.35661659736869,28.14502817154172,17.83502224,0.41173816921513834,0.6336828704273079,11.418383853788331,44.334635133491375,38.0355258149127,0.0,1.7903160216203189
933,221.220702,44.2815,37.8776,6.4039,3192.25,26.9782,86.29541839999996,86.29541839999996,11.2855,0.113,5.638999999999996,2912.3813,32.1469,25.732649879021842,3126.1806526605747,0.0,1.3299,0.0,1.6299,69.38962455351704,28.847836760093912,18.39423645,0.4157370348335708,0.6376296636372162,11.409044937148472,44.34642123625935,38.04227580043812,0.0,1.7860352879734565
934,221.455261,44.1862,37.789,6.397199999999998,3196.822,26.9782,83.58702879999997,83.58702879999997,11.312,0.113,5.638999999999996,2912.3813,32.1469,25.731979769751025,3123.4488007538703,0.0,1.3299,0.0,1.5718,69.31099807843565,27.982464455287747,17.7802016,0.40372329400914775,0.6354051348268626,11.400626604172231,44.35696150919537,38.04849595061366,0.0,1.7811989301021578
935,221.693137,44.2094,37.7224,6.487000000000002,3196.822,26.86,85.14866479999996,85.14866479999996,11.2858,0.11,5.638999999999996,2912.3813,32.1469,25.736812183835628,3120.9338097570735,0.0,1.3299,0.0,1.6053,70.05653705600542,28.50525398961436,18.11709474,0.4068892809649777,0.6355703670137725,11.394652632544881,44.366947742669815,38.053547493018165,0.0,1.776415169848016
936,221.922154,44.0995,37.9466,6.1529000000000025,3201.5163,26.86,86.40729679999997,86.40729679999997,11.1999,0.114,5.638999999999996,2912.3813,32.1469,25.73404658732252,3118.6446531694933,0.0,1.3299,0.0,1.6323,66.15295316167399,28.96908336135366,18.28159677,0.4379106597184694,0.6310726695063003,11.392727364219763,44.37550550288724,38.05529138252687,0.0,1.7722333352216486
937,222.160855,44.3597,37.9924,6.367299999999993,3201.5163,26.2232,85.05077119999997,85.05077119999997,11.226,0.11,5.638999999999996,2912.3813,32.1469,25.742148347003695,3116.9647040031773,0.0,1.3299,0.0,1.6032,67.03022547982869,28.514291872167643,17.9975232,0.42539453907623226,0.6311755270193857,11.39590714985875,44.38021538989139,38.05070056255664,0.0,1.7690566778614003
938,222.394076,44.2149,37.8324,6.3825,3193.5549,26.2232,87.80111519999997,87.80111519999997,11.3218,0.117,5.638999999999996,2912.3813,32.1469,25.731542122195236,3115.7156228998865,0.0,1.3299,0.0,1.6622,67.20360999513488,29.36317652730427,18.81909596,0.436928559781684,0.6409080414886473,11.404142673690188,44.378224574694045,38.03747302214789,0.0,1.767162008261076
939,222.630275,44.287,37.9668,6.3202,3193.5549,26.8235,88.60757199999996,88.60757199999996,11.1868,0.112,5.638999999999996,2912.3813,32.1469,25.75586464769135,3115.5304270345473,0.0,1.3299,0.0,1.6795,68.01511470802133,29.632878493231516,18.7882306,0.4356807839028283,0.6340332615439787,11.416214063238442,44.36773734505101,38.01544017438662,0.0,1.7667672182837706
940,222.86479,44.8033,38.1348,6.668500000000002,3196.9309,26.8235,89.67041679999997,89.67041679999997,11.2469,0.113,5.638999999999996,2912.3813,32.1469,25.686251758628792,3115.17923660565,0.0,1.3299,0.0,1.7023,72.07907965223391,30.020025390258493,19.14559787,0.41648735715132146,0.6377608819815573,11.430166287033913,44.34911284137929,37.98683739733025,0.0,1.768114416063351
941,223.100985,44.1899,38.1641,6.025800000000004,3196.9309,26.7853,85.07874079999996,85.07874079999996,11.1912,0.115,5.638999999999996,2912.3813,32.1469,25.809282964026867,3118.092541921629,0.0,1.3299,0.0,1.6038,64.48808501790995,28.482815739373486,17.94844656,0.4416756325058047,0.6301500077883381,11.44382165085004,44.325331513332905,37.95580744925028,0.0,1.7715134505246497
942,223.311122,44.5326,37.8305,6.7021000000000015,3190.729,26.7853,85.12069519999997,85.12069519999997,11.2097,0.111,5.638999999999996,2912.3813,32.1469,25.976237188075185,3117.274204190425,0.0,1.3299,0.0,1.6047,72.36791661030936,28.441578699782813,17.98820559,0.3930136451617994,0.6324615725405341,11.455138213607523,44.30163870006302,37.927685412341745,0.0,1.777190891309843
943,223.571822,44.3787,38.0523,6.3264,3190.729,26.7853,86.80353279999997,86.80353279999997,11.2211,0.117,5.638999999999996,2912.3813,32.1469,25.85791486990646,3120.2991425785644,0.0,1.3299,0.0,1.6408,67.99049131197359,29.003869197139483,18.41158088,0.42658713942888815,0.6347974042654918,11.462493278875348,44.28402167549414,37.90778352137825,0.0,1.7849490613264836
944,223.80988,44.4245,38.1592,6.265300000000003,3190.5119,26.7853,86.51451359999997,86.51451359999997,11.267,0.109,5.638999999999996,2912.3813,32.1469,25.859028954665327,3119.290856206381,0.0,1.3299,0.0,1.6346,67.27859169598132,28.905331652054585,18.4170382,0.42963639581922397,0.6371502123446807,11.464953055897713,44.27717618400156,37.89976282993818,0.0,1.7939601396187372
945,224.01607,44.4074,38.3346,6.072800000000001,3190.5119,26.9933,85.19061919999997,85.19061919999997,11.2556,0.111,5.638999999999996,2912.3813,32.1469,25.845393096975776,3118.747574159026,0.0,1.3299,0.0,1.6062,65.54073180819036,28.463005791202747,18.07874472,0.4342796457400227,0.6351663929179159,11.462497396882888,44.28318818872041,37.90478579157251,0.0,1.8029451840225805
946,224.274396,44.287,38.1427,6.144300000000001,3193.2287,26.9933,85.32580559999997,85.32580559999997,11.2449,0.115,5.638999999999996,2912.3813,32.1469,25.83251254780748,3118.3111357930525,0.0,1.3299,0.0,1.6091,66.38027502440836,28.532448284676086,18.09416859,0.4298332339566921,0.6341610929938258,11.45608892302222,44.30124288434338,37.92209130090618,0.0,1.8105664193580129
947,224.490422,44.3903,37.9069,6.483400000000003,3193.2287,26.6914,84.08115839999996,84.08115839999996,11.2604,0.11,5.638999999999996,2912.3813,32.1469,25.822186222485744,3117.7973246436595,0.0,1.3299,0.0,1.5824,69.57499480576925,28.11624557065604,17.818456960000002,0.40411423168837385,0.6337424004646095,11.447455411068981,44.32801863284177,37.94995223067581,0.0,1.8157301948372495
948,224.745178,44.5253,38.1354,6.389900000000004,3194.5344,26.6914,83.97394159999997,83.97394159999997,11.1862,0.116,5.638999999999996,2912.3813,32.1469,25.813656435993604,3117.111020065954,0.0,1.3299,0.0,1.5801,68.48940939519264,28.091874876439444,17.675314619999998,0.4101637775023835,0.6291966875740367,11.43860857430875,44.35858971778,37.98577913950526,0.0,1.8177194336529128
