,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV,power
64,991.29,38.57044,28.9892,150.8817,10.94238,3.26708,3544.61676,27.13718,9.58124,10.95,35.74963085
65,1002.716,38.47494,29.0649,154.9708,10.3018,3.3639,3400.10562,27.106,9.41004,10.95,34.65422502
66,1111.4029,39.16026,28.30174,139.04564,13.89696,2.97032,4067.4689,27.59388,10.85852,12.26,41.27841823
67,1122.404,39.24216,28.42974,133.60668,14.44908,2.8765,4237.56076,27.15346,10.81242,12.26,41.56277862
68,1133.4709,39.24188,28.33158,129.48562,15.13322,2.78078,4330.85844,27.13658,10.9103,12.26,42.08215551
69,1144.6109,39.36878,28.37266,123.90388,15.7076,2.68048,4487.42144,27.01776,10.99612,12.26,42.10390765
70,1154.425,39.40576,28.27944,120.57094,16.29422,2.5807,4592.02386,26.82706,11.12632,12.26,42.05049355
71,1164.2929,39.4183,28.2729,116.70808,16.88194,2.4747,4548.74348,27.18174,11.1454,12.26,41.77773692
72,1191.4759,39.08582,28.51846,141.9459,13.22138,3.06954,3986.42396,26.70014,10.56736,12.26,40.58355477
73,1204.6169,39.09838,28.52202,144.34192,13.19888,3.07062,3999.94976,27.05042,10.57636,12.26,40.52874491
74,1214.916,39.08122,28.58326,146.65314,12.57744,3.16544,3977.16738,26.73676,10.49796,12.26,39.81313167
75,1237.285,38.93658,28.59572,151.3111,11.90484,3.26214,3776.70594,26.6916,10.34086,12.26,38.83525476
76,1249.378,38.94678,28.63832,154.91754,11.25118,3.36164,3692.74398,26.88802,10.30846,12.26,37.82241674
