,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM)
440,104.694737,41.1816,34.9896,6.192,3441.2438,25.404,61.677508799999956,61.677508799999956,13.2679,0.116,6.18794145677554,3400.0,35.12,25.666912646118533,3470.2131409546223,0.7820412379090189,1.1265633876619716,0.8338,1.1018,62.9990758313976,22.226489942400207,14.618572219999997,0.3528066030981827,0.6577094385071113,13.563619370525306,41.30794145677554,35.119938400801054,0.8338,1.2468836683656452,25.346963574140133
441,104.905881,41.3337,35.1937,6.140000000000001,3441.2438,25.404,60.34895279999996,60.34895279999996,13.2582,0.109,6.189362012525876,3400.0,35.12,25.675300638350116,3464.4219962785787,0.7820412379090189,1.1265633876619716,0.8338,1.0733,62.42444823216366,21.74772325505444,14.23002606,0.348384709371754,0.6543225648548184,13.544587908388477,41.309362012525874,35.116811494621594,0.8338,1.254866314880819,25.335579696564153
442,105.13592,41.2903,35.2755,6.014800000000001,3429.9941,25.1956,59.733621599999964,59.733621599999964,13.1911,0.12,6.186784456662778,3400.0,35.12,25.677106893602815,3458.684018552192,0.7807409477960617,1.1315541082307428,0.8338,1.0601,60.54017669827629,21.45560854569414,13.983885110000001,0.35440280679433545,0.6517589599110385,13.528349564288003,41.306784456662776,35.10817219308854,0.8338,1.2619198449616755,25.323832580809963
443,105.409433,41.1852,35.0586,6.126600000000003,3429.9941,25.1956,60.06459519999996,60.06459519999996,13.2405,0.109,6.179800917940945,3400.0,35.12,25.675170405098342,3452.9699800957947,0.7807409477960617,1.1315541082307428,0.8338,1.0672,61.7654911113375,21.574490338064134,14.1302616,0.34929683144871787,0.6549522782964569,13.514415538014848,41.29980091794094,35.09627568073944,0.8338,1.2672404670864539,25.31187401918092
444,105.61141,41.2909,35.1008,6.190100000000001,3437.3886,25.3594,61.71480159999996,61.71480159999996,13.3611,0.117,6.16929093274954,3400.0,35.12,25.673173034959934,3447.234441706982,0.7807409477960617,1.1315541082307428,0.8338,1.1026,62.86751367747106,22.21501377918367,14.731948860000001,0.35336237238764145,0.6631528121672564,13.502223103101565,41.28929093274954,35.08423500102217,0.8338,1.2702378337660931,25.29986867964572
445,105.875202,41.2384,34.9811,6.257300000000001,3437.3886,25.3594,61.63555439999996,61.63555439999996,13.2455,0.109,6.156894891218641,3400.0,35.12,25.673538931206174,3441.687240615793,0.7807409477960617,1.1315541082307428,0.8338,1.1009,63.60880562165979,22.186487759585127,14.58197095,0.3487958552711809,0.6572455770382231,13.491286235868982,41.27689489121864,35.075112886488796,0.8338,1.2706636676951681,25.287986849507668
446,106.082161,41.236,35.1234,6.1126000000000005,3433.833,25.3021,60.679926399999964,60.679926399999964,13.1874,0.118,6.144418264599651,3400.0,35.12,25.679499970055083,3436.655179874854,0.7807409477960617,1.1315541082307428,0.8338,1.0804,61.872482555418635,21.819903864740038,14.24766696,0.35265925923040414,0.652966532223067,13.481451394649065,41.26441826459965,35.07084202539087,0.8338,1.2687150892635672,25.2763986993904
447,106.35094,41.3826,35.1387,6.2438999999999965,3433.833,25.3021,59.691667199999955,59.691667199999955,13.3306,0.109,6.133442967468781,3400.0,35.12,25.695815903578755,3432.6219229609273,0.7706346024516284,1.1340858203494513,0.8338,1.0592,63.31759728423715,21.464535590307765,14.119771519999999,0.3389979486105885,0.65781863579549,13.472892941901785,41.25344296746878,35.07170336370713,0.8338,1.265015890249387,25.265270559861904
448,106.580193,41.4834,35.2737,6.209700000000005,3432.7851,25.1807,66.07805919999996,66.07805919999996,13.2479,0.12,6.125233123880641,3400.0,35.12,25.70581477372741,3433.9096961063783,0.7706346024516284,1.1340858203494513,0.8338,1.1962,62.63919196006929,23.753768119799354,15.84713798,0.3792157493816604,0.667142067737498,13.465864630521832,41.24523312388064,35.07667483253907,0.8338,1.2604429583448147,25.25476133395917
449,106.821954,41.1541,35.0544,6.099699999999999,3432.7851,25.1807,65.15972399999997,65.15972399999997,13.0872,0.11,6.120889902268026,3400.0,35.12,25.685522863675022,3444.3068733799028,0.7706346024516284,1.1340858203494513,0.8338,1.1765,61.434318279755935,23.423644601325172,15.3970908,0.38127947468481665,0.6573311310883245,13.460510665605979,41.24088990226802,35.0843010273882,0.8338,1.2559714639915613,25.245017717207393
