,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM),GV,DP
1306,580.994,38.0586,31.9675,11.9794,1.3676,27.419,0,6.0911
1307,581.812,37.8264,31.7367,12.0316,1.3518,27.5895,0,6.0897
1308,582.631,38.0586,32.0184,12.0608,1.3471,27.5507,0,6.0402
1309,583.451,38.0551,31.8689,11.9637,1.3682,27.512,0,6.1862
1310,584.272,37.8869,31.9251,11.9345,1.3686,27.4733,0,5.9618
1311,585.095,38.1319,31.9421,11.8985,1.3703,27.4347,0,6.1898
1312,585.918,37.9137,31.7741,12.0057,1.3536,27.3961,0,6.1396
1313,586.741,37.9329,31.6671,12.007,1.3439,27.3577,0,6.2658
1314,587.567,38.0272,32.665,12.083,1.3687,27.3192,0,5.3622
1315,588.392,37.8247,31.6383,12.0492,1.3657,27.0743,0,6.1864
1316,589.218,37.852,32.0948,11.9669,1.3601,27.4491,0,5.7572
1317,590.045,37.9434,31.713,12.0122,1.3644,27.6167,0,6.2304
1318,590.873,37.9381,31.7768,12.0146,1.3652,27.578,0,6.1613
1319,591.703,37.994,32.0422,11.9653,1.3553,27.3338,0,5.9518
1320,592.532,37.9207,31.7367,12.0295,1.3545,27.5008,0,6.184
1321,593.362,37.9742,31.8487,11.9883,1.3658,27.0524,0,6.1255
1322,594.193,37.8561,31.6807,11.9932,1.3524,27.4239,0,6.1754
1323,595.025,38.013,31.8946,11.977,1.3544,27.3856,0,6.1184
1324,595.858,37.912,31.8436,11.9905,1.3574,27.3473,0,6.0684
1325,596.691,37.8501,31.8691,12.0612,1.3679,27.7167,0,5.981
1326,597.525,37.6606,31.6858,12.0304,1.3685,27.4745,0,5.9748
1327,598.361,37.9783,31.8827,12.0195,1.3705,27.6393,0,6.0956
1328,599.197,37.8229,31.7656,11.9968,1.3627,27.3978,0,6.0573
1329,600.034,37.8177,31.8046,11.9815,1.3769,27.5623,0,6.0131
1330,600.872,37.8927,31.7147,11.9151,1.3713,27.1191,0,6.178
1331,601.71,37.9172,31.8031,12.0074,1.3793,27.4855,0,6.1141
1332,602.549,37.8701,31.8538,12.0721,1.3778,27.0436,0,6.0163
1333,603.389,38.0363,31.7537,12.0138,1.3685,27.409,0,6.2826
1334,604.23,37.9364,31.7223,11.9495,1.3636,27.3709,0,6.2141
1335,605.072,37.7665,31.5874,12.0093,1.3768,27.3328,0,6.1791
1336,605.916,37.8613,31.7673,11.9297,1.3753,27.4954,0,6.094
1337,606.759,37.6775,31.5585,12.0373,1.3602,27.2568,0,6.119
1338,607.603,37.9381,31.9742,11.9111,1.3533,27.4191,0,5.9639
1339,608.448,37.905,31.8402,11.9685,1.3737,27.1811,0,6.0648
1340,609.294,38.0167,31.8419,12.0331,1.3719,27.5426,0,6.1748
1341,610.141,37.8072,31.7758,12.0446,1.3737,27.5043,0,6.0314
1342,610.99,37.8125,31.7113,11.9924,1.3665,27.6651,0,6.1012
1343,611.838,37.8035,31.6909,12.0001,1.3696,27.428,0,6.1126
1344,612.687,37.8772,31.7554,11.9851,1.3669,27.39,0,6.1218
1345,613.537,38.0363,32.1016,12.0596,1.3507,27.3521,0,5.9347
