,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),,
0,550.447,-0.4466,-0.643,0.2093,0.0203,16.5,0
1,0,-0.4382,-0.6393,0.2082,0.0208,16.7,0
2,550.447,-0.4466,-0.643,0.2093,0.0203,16.9,0
3,0,-0.475,-0.6826,0.2058,0.0208,17.1,0
4,0.233,-0.4746,-0.6582,0.2096,0.0201,17.195,0
5,0.466,-0.451,-0.6512,0.2058,0.0203,17.3,0.385462555
6,0.699,-0.458,-0.6512,0.2107,0.0216,17.5,1.119676946
7,0.932,-0.4528,-0.6598,0.2074,0.0216,17.7,1.853891336
8,1.165,-0.468,-0.5393,0.2126,0.0207,17.9,2.588105727
9,1.398,-0.4714,-0.6044,0.2105,0.0204,18.1,3.322320117
10,1.631,-0.3662,-0.6484,0.207,0.0197,18.3,4.056534508
11,1.864,-0.4762,-0.646,0.2074,0.0241,18.5,4.790748899
12,2.097,-0.4098,-0.6566,0.2089,0.0195,18.7,5.524963289
13,2.33,-0.463,-0.6624,0.2128,0.0204,18.9,6.25917768
14,2.563,-0.4547,-0.5604,0.207,0.0219,19.1,6.99339207
15,2.796,-0.46,-0.6627,0.2082,0.0197,19.3,7.727606461
16,3.03,-0.4481,-0.7217,0.2078,0.0221,19.5,8.461820852
17,3.263,-0.4762,-0.6468,0.2091,0.0216,19.7,9.196035242
18,3.496,-0.4251,-0.6566,0.2089,0.0202,19.9,9.930249633
19,3.729,-0.4531,-0.6582,0.2035,0.0199,20.1,10.66446402
20,3.962,-0.4658,-0.6517,0.2082,0.0216,20.3,11.39867841
21,4.195,-0.4633,-0.6452,0.2077,0.0206,20.5,12.1328928
22,4.428,-0.4547,-0.643,0.2089,0.0215,20.7,12.8671072
23,4.661,-0.501,-0.5735,0.2062,0.022,20.9,13.60132159
24,4.894,-0.4531,-0.5092,0.2093,0.0208,21.1,14.33553598
25,5.127,-0.4597,-0.6314,0.2066,0.0211,21.281,15
26,5.36,-0.4516,-0.6429,0.2062,0.0199,21.3,15
27,5.593,-0.4031,-0.6696,0.2089,0.0211,21.5,15
28,5.826,-0.5303,-0.6591,0.2062,0.0185,21.7,15
29,6.06,-0.4616,-0.4611,0.2097,0.0208,21.9,15
30,6.293,-0.4481,-0.6566,0.2109,0.0188,22.1,15
31,6.526,-0.3899,-0.5881,0.2082,0.0202,22.3,15
32,6.759,-0.4498,-0.5158,0.2064,0.0201,22.5,15
33,6.992,-0.451,-0.6631,0.2082,0.0208,22.7,15
34,7.225,-0.463,-0.6712,0.2078,0.0209,22.9,15
35,7.458,-0.4695,-0.6712,0.207,0.0202,,
36,7.691,-0.4483,-0.6615,0.2097,0.0193,,
37,7.924,-0.4663,-0.6077,0.2089,0.0275,,
38,8.157,-0.393,-0.6175,0.2287,0.0471,,
39,8.39,-0.2814,-0.4472,0.2287,0.0654,,
40,8.623,-0.003,-0.4529,0.2202,0.0503,,
41,8.856,0.176,0.0776,0.2287,0.0543,,
42,9.09,0.2322,0.1515,0.2579,0.0616,,
43,9.323,0.361,0.145,0.2284,0.0581,,
44,9.558,0.6079,0.1515,0.2377,0.064,,
45,9.791,0.4485,-0.0196,0.2104,0.0656,,
46,10.024,0.1748,-0.0261,0.2245,0.0571,,
47,10.257,0.0753,0.0505,0.2227,0.064,,
48,10.49,0.4043,-0.0261,0.2326,0.061,,
49,10.723,0.5242,0.0065,0.2231,0.0575,,
50,10.956,0.3309,-0.0147,0.2291,0.0623,,
51,11.189,0.0935,0.0472,0.2283,0.0613,,
52,11.422,0.3368,-0.035,0.2264,0.0671,,
53,11.655,0.5492,0.0147,0.2113,0.0782,,
54,11.888,0.7636,0.1455,0.2854,0.0868,,
55,12.121,1.1871,0.8032,0.2638,0.0784,,
56,12.354,1.2559,0.9954,0.2421,0.0795,,
57,12.588,1.5597,1.0627,0.2276,0.0804,,
58,12.821,1.7277,1.1926,0.217,0.079,,
59,13.054,2.0396,1.4223,0.2198,0.088,,
60,13.287,2.4425,1.8328,0.2283,0.0804,,
61,13.52,2.6408,2.0171,0.2334,0.0798,,
62,13.753,2.988,2.3242,0.2426,0.0729,,
63,13.986,3.1406,2.5399,0.2198,0.0992,,
64,14.219,3.7932,3.0042,0.2489,0.1559,,
65,14.452,4.271,3.4045,0.2451,0.1488,,
66,14.685,4.5632,3.638,0.2697,0.1905,,
67,14.918,5.0653,4.065,0.2713,0.1959,,
68,15.151,5.5173,4.4591,0.2653,0.2453,,
69,15.384,5.8512,4.8304,0.2775,0.291,,
70,15.618,6.4165,5.3275,0.2598,0.2942,,
71,15.851,6.6987,5.5458,0.2936,0.3045,,
72,16.086,7.0361,5.7364,0.3397,0.3226,,
73,16.319,7.6023,6.1897,0.8939,0.328,,
74,16.552,7.8671,6.5166,1.4494,0.3258,,
75,16.785,8.1151,6.698,1.7362,0.3328,,
76,17.018,8.6842,7.0589,2.1631,0.3215,,
77,17.251,9.5487,7.8255,2.7595,0.3157,,
78,17.484,10.4675,8.7532,3.508,0.3201,,
79,17.717,10.9805,9.1045,4.2871,0.3107,,
80,17.95,11.7429,9.6473,4.7742,0.3261,,
81,18.183,12.2042,10.0396,5.4617,0.3145,,
82,18.416,12.4372,10.311,6.0221,0.3193,,
83,18.649,12.5454,10.4214,6.1678,0.332,,
84,18.882,12.6536,10.3974,6.353,0.3228,,
85,19.116,12.4791,10.2246,6.3826,0.3237,,
86,19.349,12.6571,10.348,6.5899,0.3309,,
87,19.582,12.6887,10.4299,6.5282,0.3292,,
88,19.815,12.6606,10.4231,6.5135,0.3285,,
89,20.048,12.648,10.4503,6.4595,0.317,,
90,20.281,12.603,10.2961,6.5747,0.3256,,
91,20.514,12.6344,10.3858,6.6214,0.3333,,
92,20.747,12.699,10.3603,6.6078,0.3345,,
93,20.98,12.6466,10.3202,6.5326,0.3145,,
94,21.213,12.706,10.3128,6.5841,0.3213,,
95,21.446,12.6938,10.3517,6.5913,0.3173,,
96,21.679,12.6222,10.474,6.6168,0.32,,
97,21.912,12.6554,10.3993,6.6226,0.3349,,
98,22.146,12.6809,10.4961,6.7376,0.3265,,
99,22.379,12.596,10.3547,6.6137,0.3142,,
100,22.614,12.678,10.5317,6.6133,0.3255,,
101,22.847,12.6588,10.491,6.5859,0.3103,,
102,23.08,12.7236,10.4723,6.6754,0.326,,
103,23.313,12.7374,10.4689,6.7337,0.3175,,
104,23.546,12.7004,10.4537,6.741,0.3264,,
105,23.779,12.6711,10.4655,6.7088,0.3229,,
106,24.012,12.6519,10.4571,6.654,0.3231,,
107,24.245,12.7164,10.4757,6.663,0.3213,,
108,24.478,12.6728,10.4035,6.6474,0.3199,,
109,24.711,12.6833,10.4605,6.6859,0.3111,,
110,24.944,12.6204,10.5202,6.6141,0.3327,,
111,25.177,12.6868,10.3417,6.6183,0.3124,,
112,25.41,12.5244,10.4218,6.6059,0.3273,,
113,25.644,12.5908,10.3128,6.4276,0.3344,,
114,25.877,12.7199,10.5317,6.4184,0.3248,,
115,26.11,13.1639,10.8216,6.7172,0.3309,,
116,26.343,14.0762,11.6569,7.1565,0.3073,,
117,26.576,14.4498,11.9827,7.6171,0.3064,,
118,26.809,14.6488,12.0353,7.8096,0.3291,,
119,27.042,15.0006,12.3612,8.0017,0.3263,,
120,27.275,15.5984,12.8296,8.2662,0.3236,,
121,27.508,16.3141,13.4822,8.6695,0.3069,,
122,27.741,16.7435,13.9751,9.1332,0.3095,,
123,27.974,17.2148,14.221,9.3319,0.3132,,
124,28.207,17.5167,14.3735,9.5613,0.3293,,
125,28.44,17.4853,14.5255,9.7989,0.3296,,
126,28.674,17.9758,14.7286,9.8598,0.3341,,
127,28.907,18.3319,15.0375,10.1515,0.3375,,
128,29.142,18.7085,15.3905,10.1552,0.3119,,
129,29.375,19.0249,15.5619,10.3341,0.3109,,
130,29.608,19.5578,15.8775,10.6508,0.331,,
131,29.841,19.8314,16.2152,10.9503,0.3326,,
132,30.074,19.8611,16.3069,11.0331,0.33,,
133,30.307,19.9516,16.334,11.083,0.3331,,
134,30.54,19.9309,16.2848,11.148,0.3177,,
135,30.773,19.9763,16.3816,11.093,0.3075,,
136,31.006,19.9187,16.3358,11.146,0.3201,,
137,31.239,19.8925,16.3561,11.1509,0.318,,
138,31.472,19.9536,16.2023,11.1646,0.3324,,
139,31.705,20.065,16.357,11.1391,0.3162,,
140,31.938,20.0251,16.3922,11.0881,0.3187,,
141,32.172,20.0705,16.3493,11.1258,0.3124,,
142,32.405,20.1054,16.4376,11.022,0.3307,,
143,32.638,19.9813,16.3612,11.1157,0.321,,
144,32.871,20.0059,16.3917,11.0583,0.327,,
145,33.104,20.0131,16.3256,11.059,0.3279,,
146,33.337,20.0967,16.5258,11.1847,0.3168,,
147,33.57,20.0505,16.3085,11.1731,0.3191,,
148,33.803,20.1159,16.4749,11.2014,0.3276,,
149,34.036,20.0915,16.4937,11.1047,0.3253,,
150,34.269,19.9763,16.4206,11.1553,0.3286,,
151,34.502,19.9239,16.3922,11.0594,0.315,,
152,34.735,20.0094,16.3137,11.1569,0.311,,
153,34.968,20.0295,16.4054,11.1108,0.3343,,
154,35.202,20.074,16.4715,11.197,0.3601,,
155,35.435,20.0408,16.4749,10.688,0.4159,,
156,35.67,19.9937,16.4766,10.5128,0.4072,,
157,35.903,19.8244,16.4528,10.3843,0.4037,,
158,36.136,19.7589,16.3888,10.2175,0.3971,,
159,36.369,19.9344,16.4002,10.2476,0.4026,,
160,36.602,19.885,16.424,10.3081,0.4117,,
161,36.835,19.8401,16.3425,10.4484,0.4049,,
162,37.068,19.9813,16.3646,10.3037,0.4043,,
163,37.301,19.8296,16.2899,10.1859,0.4137,,
164,37.534,19.8702,16.3997,10.2519,0.4223,,
165,37.767,19.9239,16.3782,10.4202,0.4954,,
166,38,19.9693,16.4693,9.8416,0.5054,,
167,38.233,19.8733,16.4022,9.7275,0.505,,
168,38.466,19.9047,16.49,9.6616,0.5117,,
169,38.7,19.8174,16.3544,9.7336,0.4941,,
170,38.933,19.8087,16.4121,9.6955,0.4963,,
171,39.166,19.9522,16.3578,9.6159,0.5023,,
172,39.399,19.9413,16.4426,9.6189,0.499,,
173,39.632,19.8009,16.3646,9.683,0.496,,
174,39.865,19.9256,16.4885,9.5342,0.5107,,
175,40.098,19.8417,16.4291,9.6697,0.5128,,
176,40.331,19.8593,16.4443,9.6349,0.5007,,
177,40.564,19.875,16.4599,9.5637,0.5203,,
178,40.797,19.8122,16.3748,9.5681,0.5112,,
179,41.03,19.895,16.3847,9.6824,0.5095,,
180,41.263,19.8488,16.4172,9.641,0.4993,,
181,41.496,19.9622,16.4411,9.5148,0.4899,,
182,41.73,19.8122,16.334,9.5572,0.4945,,
183,41.963,19.9012,16.4851,9.5204,0.4831,,
184,42.198,19.964,16.687,9.5714,0.5028,,
185,42.431,19.7965,16.4834,9.6549,0.504,,
186,42.664,19.7951,16.4474,9.6106,0.493,,
187,42.897,19.9152,16.5004,9.5288,0.5893,,
188,43.13,19.8649,16.407,9.1271,0.5996,,
189,43.363,19.8314,16.463,8.9556,0.5883,,
190,43.596,19.8791,16.5258,8.8646,0.5997,,
191,43.829,19.8261,16.4987,8.8379,0.6056,,
192,44.062,19.8174,16.3997,8.9718,0.6002,,
193,44.295,19.7755,16.497,8.8168,0.5929,,
194,44.528,19.8733,16.5332,8.8055,0.5968,,
195,44.761,19.9221,16.3799,8.9293,0.5964,,
196,44.994,19.8261,16.4279,8.8702,0.5924,,
197,45.228,19.7842,16.3833,8.8702,0.5949,,
198,45.461,19.8488,16.4562,8.8362,0.598,,
199,45.694,19.8184,16.4494,8.9669,0.5942,,
200,45.927,19.793,16.3951,8.8655,0.584,,
201,46.16,19.8436,16.5547,8.6635,0.6906,,
202,46.393,19.882,16.5411,8.1119,0.6943,,
203,46.626,19.766,16.5445,8.0938,0.6747,,
204,46.859,19.7834,16.4087,8.0428,0.687,,
205,47.092,19.8244,16.4185,8.0176,0.6737,,
206,47.325,19.7389,16.5021,8.0739,0.6857,,
207,47.558,19.8645,16.4956,8.0432,0.6907,,
208,47.791,19.7319,16.497,8.004,0.6791,,
209,48.024,19.8419,16.4561,7.8488,0.6819,,
210,48.258,19.7354,16.4596,7.9749,0.692,,
211,48.491,19.8139,16.4715,7.9737,0.6998,,
212,48.726,19.7074,16.4766,8.0017,0.6813,,
213,48.959,19.7072,16.4443,7.9225,0.6869,,
214,49.192,19.7854,16.4223,7.8537,0.6828,,
215,49.425,19.793,16.4019,7.9371,0.689,,
216,49.658,19.7777,16.48,7.9254,0.6897,,
217,49.891,19.7528,16.4511,8.0223,0.6947,,
218,50.124,19.7292,16.4664,8.0587,0.6745,,
219,50.357,19.7109,16.3917,8.0503,0.6888,,
220,50.59,19.7458,16.4392,7.8769,0.6901,,
221,50.823,19.7616,16.4206,7.9546,0.6864,,
222,51.056,19.7424,16.3922,8.0116,0.6832,,
223,51.289,19.7546,16.4596,8.1066,0.6938,,
224,51.522,19.6743,16.4354,7.9693,0.6899,,
225,51.756,20.0653,16.6836,8.0248,0.6821,,
226,51.989,20.5453,17.186,8.344,0.6702,,
227,52.222,20.9724,17.5856,8.4713,0.6765,,
228,52.455,21.3884,17.7138,8.7042,0.6957,,
229,52.688,21.7637,18.0718,8.9702,0.6776,,
230,52.921,22.3193,18.4418,9.3222,0.6891,,
231,53.154,22.6734,18.8966,9.5791,0.6832,,
232,53.387,23.0729,19.2768,9.8085,0.6963,,
233,53.62,23.3103,19.3642,10.0524,0.6821,,
234,53.853,23.8953,19.9726,10.3061,0.6872,,
235,54.086,24.3297,20.1105,10.5229,0.6685,,
236,54.319,24.7879,20.5139,10.5978,0.6928,,
237,54.552,25.4165,21.0486,10.8361,0.6759,,
238,54.786,26.0578,21.6136,11.1452,0.6795,,
239,55.019,26.7054,22.1109,11.4895,0.6907,,
240,55.254,26.7351,22.082,11.625,0.6916,,
241,55.487,26.7854,22.2399,11.7431,0.698,,
242,55.72,26.8356,22.1991,11.6991,0.6823,,
243,55.953,26.8049,22.2042,11.7718,0.6893,,
244,56.186,26.9034,22.1686,11.7857,0.687,,
245,56.419,26.9952,22.1856,11.7564,0.6856,,
246,56.652,26.7552,22.1822,11.7929,0.6881,,
247,56.885,26.8625,22.1703,11.8039,0.6813,,
248,57.118,26.7805,22.105,11.7974,0.6951,,
249,57.351,26.7456,22.1228,11.695,0.679,,
250,57.584,26.8491,22.2103,11.7343,0.6975,,
251,57.817,26.9678,22.267,11.7727,0.6795,,
252,58.05,26.8598,22.1088,11.7594,0.6722,,
253,58.284,26.7269,21.9802,11.8095,0.6766,,
254,58.517,26.8311,22.2025,11.6781,0.6841,,
255,58.75,26.8317,22.0566,11.7881,0.7081,,
256,58.983,26.9131,22.2416,11.882,0.6857,,
257,59.216,26.8025,22.0481,11.7776,0.6893,,
258,59.449,26.9873,22.267,11.6759,0.6854,,
259,59.682,26.9674,22.1448,11.7792,0.6903,,
260,59.915,26.819,22.0192,11.7962,0.6852,,
261,60.148,26.7535,22.1163,11.8213,0.6801,,
262,60.381,26.8314,22.1143,11.7161,0.6782,,
263,60.614,26.8686,22.0374,11.795,0.6829,,
264,60.847,26.7057,22.1228,11.7306,0.6893,,
265,61.08,26.8792,22.1163,11.7901,0.7012,,
266,61.314,26.8678,22.0702,11.7614,0.6748,,
267,61.547,26.8293,22.172,11.7395,0.6818,,
268,61.782,26.8939,22.1669,11.7751,0.6879,,
269,62.015,26.8651,22.1228,11.8565,0.7072,,
270,62.248,26.7328,22.1245,11.7577,0.688,,
271,62.481,26.8555,22.0871,11.6848,0.6746,,
272,62.714,26.771,22.1516,11.7185,0.6843,,
273,62.947,26.8438,21.9497,11.7337,0.6734,,
274,63.18,26.9602,22.245,11.765,0.6825,,
275,63.413,26.8686,22.077,11.8075,0.6897,,
276,63.646,26.9589,22.23,11.8051,0.6873,,
277,63.879,26.8241,22.138,11.765,0.6821,,
278,64.112,26.8014,22.0674,11.7678,0.6814,,
279,64.345,26.8367,22.211,11.7472,0.6815,,
280,64.578,26.7216,22.0317,11.7836,0.6786,,
281,64.812,26.7323,22.082,11.7468,0.6969,,
282,65.045,26.9411,22.0803,11.8551,0.6803,,
283,65.278,26.9461,22.0668,11.7513,0.6741,,
284,65.511,26.8835,22.0905,11.7337,0.6929,,
285,65.744,26.9131,22.1516,11.833,0.6865,,
286,65.977,26.8014,22.0973,11.8092,0.6916,,
287,66.21,26.8181,22.138,11.7618,0.6866,,
288,66.443,26.9111,22.1822,11.8221,0.692,,
289,66.676,26.8332,22.1765,11.7784,0.6859,,
290,66.909,26.8385,22.1245,11.7946,0.6864,,
291,67.142,26.7818,22.1276,11.7488,0.6859,,
292,67.375,26.8276,22.0668,11.8111,0.6868,,
293,67.608,26.796,22.1276,11.8119,0.6877,,
294,67.842,26.756,22.0685,11.8342,0.6659,,
295,68.075,26.8332,22.1465,11.7488,0.6653,,
296,68.31,26.7748,22.0905,11.7197,0.6869,,
297,68.543,26.8206,22.1092,11.787,0.7001,,
298,68.776,26.7172,21.9446,11.7796,0.6887,,
299,69.009,26.8421,22.245,11.7037,0.6918,,
300,69.242,26.9616,22.0685,11.8002,0.6917,,
301,69.475,26.8363,22.1431,11.8157,0.6828,,
302,69.708,26.9326,22.2399,11.744,0.6754,,
303,69.941,26.7748,22.0719,11.8285,0.6739,,
304,70.174,26.8084,22.1013,11.7403,0.6884,,
305,70.407,26.7393,21.9751,11.7573,0.6826,,
306,70.64,26.7978,22.0712,11.7739,0.6794,,
307,70.873,26.8363,22.2416,11.7589,0.674,,
308,71.106,26.7907,22.1483,11.7327,0.6923,,
309,71.34,26.7996,22.1177,11.7731,0.6836,,
310,71.573,26.75,22.1245,11.7171,0.6756,,
311,71.806,26.8802,22.1686,11.7428,0.6874,,
312,72.039,26.9184,22.1364,11.6481,0.6865,,
313,72.272,26.8899,22.1907,11.85,0.6933,,
314,72.505,26.8084,22.1974,11.8838,0.6817,,
315,72.738,26.972,22.1669,11.7424,0.6973,,
316,72.971,26.7553,22.0651,11.8172,0.7499,,
317,73.204,26.9411,22.293,11.318,0.7913,,
318,73.437,26.7146,22.0243,11.1428,0.7885,,
319,73.67,26.8226,22.0862,11.0975,0.7756,,
320,73.903,26.8757,22.0736,11.0841,0.7868,,
321,74.136,26.819,22.184,11.1229,0.7906,,
322,74.37,26.7822,22.1991,11.1153,0.796,,
323,74.603,26.8573,22.3655,11.055,0.7886,,
324,74.838,26.9131,22.267,11.0493,0.7812,,
325,75.071,26.7316,22.2602,11.2008,0.7824,,
326,75.304,26.8045,22.043,11.1132,0.7857,,
327,75.537,26.8486,22.1703,11.0655,0.8874,,
328,75.77,26.8259,22.2042,10.5068,0.8802,,
329,76.003,26.6968,22.2076,10.4547,0.8717,,
330,76.236,26.834,22.2127,10.3822,0.8784,,
331,76.469,26.7535,22.2823,10.3376,0.8798,,
332,76.702,26.8243,22.2423,10.3178,0.8591,,
333,76.935,26.8084,22.3621,10.4093,0.8698,,
334,77.168,26.8155,22.2874,10.3866,0.8715,,
335,77.401,26.8084,22.1957,10.402,0.8784,,
336,77.634,26.681,22.2404,10.3494,0.8772,,
337,77.868,26.8608,22.3315,10.3328,0.8854,,
338,78.101,26.8668,22.2534,10.4269,0.873,,
339,78.334,26.8491,22.3095,10.3134,0.8796,,
340,78.567,26.8032,22.2331,10.4793,0.8694,,
341,78.8,26.7099,22.1211,10.3862,0.8895,,
342,79.033,26.7588,22.1262,10.5264,0.8711,,
343,79.266,26.7328,22.2246,10.332,0.8588,,
344,79.499,26.7386,22.2314,10.315,0.8823,,
345,79.732,26.7323,22.3381,10.2883,0.8845,,
346,79.965,26.9323,22.4486,10.2215,0.8747,,
347,80.198,27.0859,22.6276,10.4724,0.8835,,
348,80.431,27.7417,23.1308,10.7115,0.8665,,
349,80.664,27.9789,23.3476,11.0016,0.8584,,
350,80.898,28.5487,23.6807,11.091,0.8834,,
351,81.131,29.0061,24.161,11.2674,0.8678,,
352,81.366,29.5629,24.6311,11.5041,0.8763,,
353,81.599,30.1023,24.906,11.7942,0.8853,,
354,81.832,30.3713,25.1758,11.924,0.8831,,
355,82.065,30.9859,25.6832,12.1236,0.8854,,
356,82.298,31.0075,25.819,12.2582,0.878,,
357,82.531,31.4144,26.189,12.4059,0.8827,,
358,82.764,31.7512,26.3519,12.5224,0.8718,,
359,82.997,32.1865,26.7134,12.7971,0.8738,,
360,83.23,32.376,26.9738,12.8983,0.8832,,
361,83.463,32.4964,26.9611,12.9691,0.8706,,
362,83.696,32.6735,26.9569,12.8987,0.8735,,
363,83.929,32.6894,26.9798,12.9484,0.8599,,
364,84.162,32.3672,26.9118,12.8639,0.8778,,
365,84.396,32.4947,26.7694,12.9634,0.8845,,
366,84.629,32.3973,26.71,12.9576,0.8785,,
367,84.862,32.6541,26.99,12.8829,0.8807,,
368,85.095,32.5758,26.9815,13.0181,0.8769,,
369,85.328,32.5222,26.8669,13.0783,0.8609,,
370,85.561,32.2432,26.6794,12.95,0.8686,,
371,85.794,32.4272,26.878,13.0128,0.8792,,
372,86.027,32.7172,27.0545,12.9671,0.863,,
373,86.26,32.5017,26.8516,12.9124,0.8686,,
374,86.493,32.5775,26.8583,12.9254,0.8681,,
375,86.726,32.4344,26.7577,12.9181,0.8761,,
376,86.959,32.4955,26.86,13.0949,0.8767,,
377,87.192,32.6647,27.0058,13.0293,0.8876,,
378,87.426,32.5199,26.7643,12.9771,0.8806,,
379,87.659,32.3977,26.8256,13.0471,0.856,,
380,87.894,32.5956,27.0884,13.0569,0.8812,,
381,88.127,32.3925,26.8101,12.9744,0.8746,,
382,88.36,32.4311,26.9461,12.9759,0.8834,,
383,88.593,32.6089,26.8763,12.9503,0.879,,
384,88.826,32.5789,26.8067,12.961,0.8715,,
385,89.059,32.5827,26.8356,12.8857,0.8582,,
386,89.292,32.5907,27.0698,12.9549,0.8986,,
387,89.525,32.5234,26.9051,12.8424,0.8762,,
388,89.758,32.592,27.0359,12.9035,0.8778,,
389,89.991,32.4415,26.8474,12.8364,0.8734,,
390,90.224,32.5566,26.9024,12.9549,0.9001,,
391,90.457,32.6054,27.0528,12.8513,0.8687,,
392,90.69,32.6037,27.133,12.8845,0.8938,,
393,90.924,32.4628,26.8746,12.9909,0.8689,,
394,91.157,32.6682,27.0613,12.9742,0.8471,,
395,91.39,32.5184,26.7361,13.0099,0.8896,,
396,91.623,32.4728,26.8979,12.95,0.8802,,
397,91.856,32.3069,26.7609,13.0362,0.8868,,
398,92.089,32.3122,26.7327,13.0298,0.8693,,
399,92.322,32.5533,26.8032,13.0512,0.8747,,
400,92.555,32.4885,27.0256,12.8941,0.8667,,
401,92.788,32.507,26.6674,12.9023,0.872,,
402,93.021,32.5339,26.7524,12.8675,0.8737,,
403,93.254,32.4486,26.9663,12.8283,0.8801,,
404,93.487,32.6159,26.8797,12.8683,0.8868,,
405,93.72,32.5779,26.9644,12.9189,0.8792,,
406,93.954,32.5705,26.9153,13.0164,0.8783,,
407,94.187,32.5513,26.7812,12.9448,0.8828,,
408,94.422,32.422,26.8814,12.9225,0.8635,,
409,94.655,32.4752,26.9187,12.9173,0.8829,,
410,94.888,32.5533,27.0681,12.8412,0.8971,,
411,95.121,32.3995,26.8457,12.953,0.8855,,
412,95.354,32.435,26.9934,12.9124,0.8748,,
413,95.587,32.5248,26.8763,13.0047,0.8851,,
414,95.82,32.6289,27.027,12.8825,0.9494,,
415,96.053,32.485,26.9564,12.49,0.969,,
416,96.286,32.5248,26.9475,12.3929,0.9797,,
417,96.519,32.4079,26.8831,12.3577,0.9821,,
418,96.752,32.5356,27.0394,12.3347,0.9742,,
419,96.985,32.3955,27.0137,12.2137,0.9737,,
420,97.218,32.5182,27.0012,12.308,0.9801,,
421,97.452,32.6647,27.0562,12.24,1.0031,,
422,97.685,32.4203,26.8729,12.3342,0.9707,,
423,97.918,32.4155,27.0273,12.1939,1.0776,,
424,98.151,32.6151,27.0273,11.7373,1.0735,,
425,98.384,32.5316,27.0647,11.7302,1.074,,
426,98.617,32.4344,27.0799,11.6593,1.0585,,
427,98.85,32.3205,26.879,11.7035,1.0652,,
428,99.083,32.5177,26.9577,11.6934,1.0805,,
429,99.316,32.471,27.0321,11.6529,1.0646,,
430,99.549,32.5318,27.0816,11.7678,1.0745,,
431,99.782,32.4344,27.0261,11.7205,1.0665,,
432,100.015,32.5618,27.0002,11.7416,1.0605,,
433,100.248,32.569,26.9438,11.725,1.0667,,
434,100.482,32.4645,26.9136,11.708,1.1097,,
435,100.715,32.3282,26.9832,11.2087,1.1592,,
436,100.95,32.2963,27.1444,10.9704,1.1596,,
437,101.183,32.5,27.1292,11.0825,1.1504,,
438,101.416,32.3424,26.9374,10.9761,1.1514,,
439,101.649,32.3424,26.9153,11.0731,1.1488,,
440,101.882,32.4685,27.1716,11.0384,1.1633,,
441,102.115,32.3725,27.0171,11.1013,1.1765,,
442,102.348,32.5434,27.0935,11.0428,1.1715,,
443,102.581,32.2662,26.9085,11.0643,1.1632,,
444,102.814,32.4327,26.9983,11.0683,1.1711,,
445,103.047,32.2414,26.8967,11.0137,1.1808,,
446,103.28,32.2662,26.9268,10.7188,1.256,,
