,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A)
296,110.138697,38.2417,31.3832,6.858500000000003,2240.2963,23.687,139.2978104,139.2978104,5.6962,0.116,7.114837920024911,2600.0,31.0,26.874632279881457,2373.9075244689775,3.8982812674068263,2.797826632711602,4.0621,2.7669,65.60849071875272,32.67972316977138,15.760815780000001,0.49810204154613497,0.4822811900248499,6.298522688615297,38.11483792002491,31.174553718844262,4.0621,2.8111018874525664
297,110.2887,38.0499,31.1675,6.8824000000000005,2240.2963,24.1742,135.782964,135.782964,5.7522,0.11,7.088784407863592,2600.0,31.0,26.830573953480283,2362.844218062542,3.8982812674068263,2.797826632711602,4.0621,2.6915,67.20926448786518,31.855128676818257,15.4820463,0.4739693094330736,0.4860142445843158,6.250438723662463,38.08878440786359,31.191734600342567,4.0621,2.823613089535494
298,110.438704,38.1891,31.2152,6.973900000000004,2225.4438,24.1742,138.73375679999998,138.73375679999998,5.533,0.12,7.0683446451303595,2600.0,31.0,26.789927503719166,2352.4798424607447,3.8982812674068263,2.797826632711602,4.0621,2.7548,68.17143986425219,32.331614774311326,15.2423084,0.4742692077311603,0.4714366574759076,6.203672805012762,38.06834464513036,31.209583316340208,4.0621,2.8356315028473777
299,110.588706,38.0108,31.1394,6.871400000000005,2225.4438,23.7148,139.1719472,139.1719472,5.3695,0.115,7.056476779276551,2600.0,31.0,26.751697660193095,2342.6743552757475,3.8982812674068263,2.797826632711602,4.0621,2.7642,65.81856451863497,32.4337341397591,14.842371900000002,0.4927748633985516,0.4576214331671845,6.157547768374364,38.05647677927655,31.226781009650516,4.0621,2.846558153945262
300,110.738711,38.1103,31.1431,6.967200000000002,2173.6906,23.7148,133.7458448,133.7458448,5.3903,0.112,7.0542071253751,2600.0,31.0,26.718362948622932,2333.265714046141,3.8982812674068263,2.797826632711602,4.0621,2.6478,66.80681266622524,30.44434558034837,14.27243634,0.4557072005882384,0.46880417587996265,6.110881986507428,38.0542071253751,31.241633092769586,4.0621,2.8562732055274007
301,110.888713,38.1812,31.0924,7.0887999999999955,2173.6906,23.9676,137.764144,137.764144,5.368,0.113,7.0605348288532355,2600.0,31.0,26.69315010167864,2324.066069062249,3.8982812674068263,2.797826632711602,4.0621,2.734,68.78674010683592,31.359024385308427,14.676112000000002,0.45588763672479976,0.46800282494999107,6.0617778017041575,38.060534828853235,31.252197567708034,4.0621,2.8649276037232307
302,111.038717,37.7505,31.0392,6.711300000000001,2165.8625,23.9676,139.88517199999998,139.88517199999998,5.2859,0.117,7.072870819099393,2600.0,31.0,26.67846936665345,2314.8472915516245,3.8982812674068263,2.797826632711602,4.0621,2.7795,64.85103511572825,31.727158674101968,14.69215905,0.4892313379036137,0.46307831094855706,6.008027872622231,38.07287081909939,31.256608856579497,4.0621,2.8726438691681926
303,111.18872,37.8708,31.1516,6.719200000000004,2165.8625,24.2764,140.04832799999997,140.04832799999997,5.2912,0.113,7.087580856775553,2600.0,31.0,26.67511102350198,2305.360417304491,3.8982812674068263,2.797826632711602,4.0621,2.783,65.77000402174423,31.76416385647134,14.725409599999999,0.48295821672703243,0.46358562015162186,5.948004362745636,38.08758085677555,31.253452895286696,4.0621,2.8794265837190376
304,111.338723,38.0187,31.2311,6.787600000000001,2149.5769,24.2764,138.73375679999998,138.73375679999998,5.1299,0.12,7.100287448028041,2600.0,31.0,26.6820153203996,2295.3814417353574,3.8982812674068263,2.797826632711602,4.0621,2.7548,66.49231035023192,31.229407931379058,14.13184852,0.4696694665426095,0.45251733721792503,5.881380531878319,38.10028744802804,31.24217876445748,4.0621,2.8853657353594167
305,111.488727,37.8568,31.0716,6.7852,2149.5769,24.0298,137.36790799999997,137.36790799999997,5.134,0.114,7.106454502700444,2600.0,31.0,26.696373568321988,2284.761708801562,3.8982812674068263,2.797826632711602,4.0621,2.7255,65.79179392494507,30.921951041782414,13.992717,0.4699970801382618,0.45251727425260896,5.809252223878494,38.106454502700444,31.223558468895234,4.0621,2.8907888565459126
306,111.638731,38.0383,31.0966,6.941700000000001,2123.9895,24.0298,138.0112088,138.0112088,5.0808,0.112,7.102614756641266,2600.0,31.0,26.714088843844937,2273.4605753872693,3.8982812674068263,2.797826632711602,4.0621,2.7393,67.42765165893096,30.696958190955918,13.917835440000001,0.4552577086064072,0.45339461172086226,5.733722838818224,38.102614756641266,31.199830005253126,4.0621,2.8961068542104194
307,111.788736,38.0126,31.2164,6.796199999999999,2123.9895,23.9544,139.73133919999998,139.73133919999998,5.0179,0.115,7.087547315853925,2600.0,31.0,26.730643223883998,2261.5478101013355,3.8982812674068263,2.797826632711602,4.0621,2.7762,65.69997400178606,31.079555890308807,13.93069398,0.4730527882623501,0.44822693185084583,5.65730684911283,38.087547315853925,31.17416780800144,4.0621,2.9015303799043286
308,111.938739,37.7878,31.1926,6.595199999999998,2102.6608,23.9544,137.89000719999999,137.89000719999999,5.049,0.115,7.06266846086919,2600.0,31.0,26.74215397696694,2249.179957589766,3.8982812674068263,2.797826632711602,4.0621,2.7367,63.60556069620351,30.36201775947459,13.8175983,0.47734848065393815,0.4550948625833065,5.582453825077526,38.06266846086919,31.14986334186066,4.0621,2.9069622696571096
309,112.088743,37.9032,31.4058,6.497399999999999,2102.6608,24.3114,137.05558079999997,137.05558079999997,4.9674,0.11,7.031428230980893,2600.0,31.0,26.746158534023383,2236.5650811554046,3.8982812674068263,2.797826632711602,4.0621,2.7188,63.51923417962503,30.178285307136488,13.505367119999999,0.475104678085315,0.4475193664103335,5.511270640501912,38.03142823098089,31.129866804474098,4.0621,2.9121016167531764
310,112.238745,38.0822,31.3276,6.7546,2092.5986,24.3114,136.901748,136.901748,4.8087,0.122,6.998035053143617,2600.0,31.0,26.74170052800943,2223.9276002454776,3.8982812674068263,2.797826632711602,4.0621,2.7155,66.23919073113669,30.000157949810863,13.05802485,0.45290646849205624,0.43526520333144864,5.445355791619356,37.99803505314362,31.11676750315618,4.0621,2.9165567022580072
311,112.388748,37.8061,30.8572,6.948900000000002,2092.5986,24.1292,138.37947519999997,138.37947519999997,4.8292,0.11,6.966387874796311,2600.0,31.0,26.728767614788005,2211.472225484908,3.8982812674068263,2.797826632711602,4.0621,2.7472,67.7821394182865,30.323981787375963,13.266778239999999,0.4473742205191454,0.437501194039202,5.3855690450629545,37.96638787479631,31.112704056987845,4.0621,2.9198806145482923
312,112.538752,37.7212,31.0838,6.637400000000003,2054.0559,24.1292,140.3466704,140.3466704,4.7935,0.117,6.939548531890708,2600.0,31.0,26.707757730250794,2199.345620307229,3.8982812674068263,2.797826632711602,4.0621,2.7894,64.51263440445908,30.188601167586313,13.3709889,0.46794866534701135,0.44291515283445837,5.331762461919225,37.93954853189071,31.11857437385155,4.0621,2.921661281394005
313,112.688756,37.9747,31.1944,6.780299999999997,2054.0559,23.8444,137.61497279999998,137.61497279999998,4.7572,0.116,6.919235659175101,2600.0,31.0,26.679551824301143,2187.612606089016,3.8982812674068263,2.797826632711602,4.0621,2.7308,65.23335922469313,29.601012383885084,12.99096176,0.45377108791723936,0.43886883298195345,5.282811523543086,37.9192356591751,31.132871969507658,4.0621,2.9217358479947624
314,112.838759,38.1372,31.261,6.876200000000001,2032.1417,24.0553,139.19991679999998,139.19991679999998,4.6444,0.119,6.835815480786962,2600.0,31.0,26.59068153824402,2173.520146258493,3.8982812674068263,2.797826632711602,3.88,2.7648,66.81382203650045,29.62249132273256,12.840837120000002,0.4433587305714941,0.43348268652021954,5.1930154649653995,37.83581548078696,31.16993702394974,3.88,2.918384391333306
315,113.11788,37.9839,31.297,6.686899999999998,2032.1417,24.1134,143.99670319999998,143.99670319999998,4.654,0.115,6.639076846020245,2600.0,31.0,26.4687117113315,2158.8252632364092,3.8982812674068263,2.797826632711602,3.88,2.8677,64.98960295119983,30.6432732799169,13.3462758,0.4715103937921684,0.4355368853087549,5.149525948356707,37.639076846020245,31.18406031316416,3.88,2.916865721072273
316,113.357264,38.1091,31.2066,6.902499999999996,2028.0548,24.1134,139.21390159999999,139.21390159999999,4.6704,0.118,6.205509120521647,2600.0,31.0,26.165288358062387,2142.2967992491467,3.8982812674068263,2.797826632711602,3.88,2.7651,67.2510594621633,29.565886713822916,12.91412304,0.43963451208463467,0.4367913320171882,5.106063901212954,37.20550912052165,31.192452775267757,3.88,2.9170814608164624
317,113.593798,37.7578,31.2152,6.542600000000004,2028.0548,24.0744,145.88465119999998,145.88465119999998,4.6054,0.115,5.504721682389139,2600.0,31.0,25.553243482213915,2121.1662335727824,3.8982812674068263,2.797826632711602,3.88,2.9082,63.37335798663966,30.98260318181306,13.393424280000001,0.48889003464744285,0.43228853952020424,5.0625964574777305,36.50472168238914,31.195798164063753,3.88,2.9200526600803633
318,113.809444,37.8458,31.0227,6.823099999999997,2036.2796,24.0744,144.97097759999997,144.97097759999997,4.7067,0.114,4.620194001754001,2600.0,31.0,24.553206612869992,2087.6747572224413,3.8982812674068263,2.797826632711602,3.88,2.8886,66.31080046718232,30.91342292053642,13.595773619999997,0.46618986202459867,0.43980162452240273,5.019609291561883,35.620194001754,31.196072571578085,3.88,2.92633678365486
319,114.066164,37.8403,31.0148,6.825499999999998,2036.2796,24.0923,136.53348159999996,136.53348159999996,4.7059,0.109,3.720211938213801,2600.0,31.0,24.044302722058948,2065.907650473892,3.8982812674068263,2.797826632711602,3.88,2.7076,66.38525631518591,29.11422223529296,12.74169484,0.43856458272999027,0.437645036059188,4.978125639258268,34.7202119382138,31.195197307531224,3.88,2.9359980474153575
320,114.296546,37.9362,31.2439,6.6922999999999995,2042.0665,24.0923,142.1553712,142.1553712,4.6103,0.119,2.994549956855522,2600.0,31.0,22.708133729904386,2027.0099717956912,3.8982812674068263,2.797826632711602,3.88,2.8282,64.98932670098074,30.399173215674352,13.038850459999997,0.46775639568544114,0.4289212199125513,4.9396714248525795,33.99454995685552,31.193946011498547,3.88,2.9485657375569483
321,114.538914,38.0828,31.3557,6.7271,2042.0665,24.0399,142.5236376,142.5236376,4.5682,0.114,2.595700117308141,2600.0,31.0,21.81576782696093,2001.7332871331287,0.0,0.8,3.88,2.8361,65.21188606074473,30.47792503481851,12.955872020000001,0.46736763611511545,0.42509035655147087,4.906013895630273,33.59570011730814,31.19185455629702,3.88,2.9628858983537842
