label,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM),GV,DP,Power
1157,67.101,38.406,31.7862,15.0783,1.0461,27.3009,0,6.6198,15.77340963
1158,67.806,38.3222,31.7554,15.0924,1.0486,27.5194,0,6.5668,15.82589064
1159,68.512,38.2436,31.5494,15.0281,1.0319,26.9595,0,6.6942,15.50749639
1160,69.219,38.4985,31.8216,15.1286,1.044,27.4367,0,6.6769,15.7942584
1161,69.927,38.3214,31.6773,15.1734,1.037,27.3954,0,6.6441,15.7348158
1162,70.635,38.2419,31.7707,15.04,1.0507,27.3542,0,6.4712,15.802528
1163,71.345,38.2907,31.7724,15.0372,1.0375,27.0554,0,6.5183,15.601095
1164,72.054,38.4932,31.9498,15.0863,1.0188,27.2721,0,6.5434,15.36992244
1165,72.764,38.2873,31.679,15.1165,1.0464,27.4881,0,6.6083,15.8179056
1166,73.476,38.385,31.7588,15.09,1.0143,27.7033,0,6.6262,15.305787
1167,74.188,38.385,31.6519,15.0137,1.0382,27.4056,0,6.7331,15.58722334
1168,74.901,38.3274,31.5416,15.1716,1.0288,27.1088,0,6.7858,15.60854208
1169,75.614,38.3291,31.7282,15.0684,1.0373,27.3236,0,6.6009,15.63045132
1170,76.328,38.2632,31.7435,15.0676,1.044,27.0277,0,6.5197,15.7305744
1171,77.042,38.4653,31.8445,15.1248,1.0402,27.4965,0,6.6208,15.73281696
1172,77.757,38.2907,31.6875,15.1923,1.0401,27.2012,0,6.6032,15.80151123
1173,78.473,38.37,31.7321,14.9459,1.0377,27.4143,0,6.6379,15.50936043
1174,79.191,38.1057,31.6315,15.0336,1.0487,27.3733,0,6.4742,15.76573632
1175,79.908,38.3951,31.5738,15.1083,1.035,27.3325,0,6.8213,15.6370905
1176,80.626,38.2523,31.758,15.1446,1.0308,27.2917,0,6.4943,15.61105368
1177,81.345,38.4444,31.6892,15.1045,1.022,27.251,0,6.7552,15.436799
1178,82.064,38.3431,31.7893,15.1129,1.0529,27.2104,0,6.5538,15.91237241
1179,82.784,38.2314,31.7605,15.0859,1.0225,27.1698,0,6.4709,15.42533275
1180,83.506,38.3483,31.7503,15.1549,1.0357,27.6317,0,6.598,15.69592993
1181,84.229,38.303,31.6247,15.0708,1.0542,27.5905,0,6.6783,15.88763736
1182,84.952,38.5247,31.752,15.1879,1.052,27.5494,0,6.7727,15.9776708
1183,85.676,38.3291,31.6111,15.0666,1.0414,27.2583,0,6.718,15.69035724
1184,86.4,38.2768,31.8419,15.0157,1.0489,27.2178,0,6.4349,15.74996773
1185,87.124,38.399,31.7401,15.0204,1.0234,26.9281,0,6.6589,15.37187736
1186,87.849,38.4242,31.7316,15.1232,1.0628,27.386,0,6.6926,16.07293696
1187,88.575,38.3524,31.6145,14.5552,1.1309,27.3454,0,6.7379,16.46047568
1188,89.303,38.2855,31.8148,14.4047,1.1573,27.553,0,6.4707,16.67055931
1189,90.031,38.2296,31.8114,14.4823,1.1487,27.2642,0,6.4182,16.63581801
1190,90.76,38.1249,31.7605,14.4451,1.1344,27.7188,0,6.3644,16.38652144
1191,91.489,38.172,31.7775,14.0587,1.2263,27.6777,0,6.3945,17.24018381
1192,92.219,38.2209,31.8029,13.9983,1.2421,27.1432,0,6.418,17.38728843
1193,92.949,38.1144,31.7859,13.8845,1.2185,27.8422,0,6.3285,16.91826325
1194,93.68,38.1668,31.7618,13.8779,1.235,27.555,0,6.405,17.1392065
1195,94.413,38.044,31.7384,13.8168,1.2312,27.5142,0,6.3056,17.01124416
1196,95.146,38.0363,31.8606,13.4041,1.3281,27.4735,0,6.1757,17.80198521
1197,95.88,38.3326,31.9607,13.2585,1.3307,27.9228,0,6.3719,17.64308595
1198,96.614,38.0917,31.6824,13.2808,1.313,27.8816,0,6.4093,17.4376904
1199,97.349,38.1389,31.7618,13.3305,1.3408,28.0846,0,6.3771,17.8735344
