,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV,Speed (rad/s),torque_adj (mNm),turbine power (w),fluid power (w),turbine eff
57,55,1385.586,37.68646,26.91634,113.93603999999999,16.55592,2.42156,4448.66676,26.49548,10.77012,12.26,465.8632931838438,132.25711866799998,61.61373684968089,118.4697807380759,0.5200797744861394
58,56,1398.7669,37.724340000000005,26.77072,109.56758,17.103920000000002,2.3233200000000003,4599.483520000001,26.711879999999997,10.953619999999999,12.26,481.6567873409377,127.54206039600001,61.43149906118121,121.5695373678051,0.5053198390919429
59,57,1423.723,37.6663,26.8002,112.848575,16.662075,2.4172,4504.21445,26.02635,10.8661,12.26,471.6802336714598,132.04785915999997,62.2843650644048,117.45876061713575,0.5302658119084418
60,58,1435.524,37.638025,26.901999999999997,117.38805,16.01905,2.52175,4332.306325,26.26505,10.736025,12.26,453.6780569389503,137.06576777499998,62.18373119700738,117.04991731266611,0.531258224052401
61,59,1445.7259,37.524125,27.01005,122.217175,15.268325,2.62005,4319.9853,26.06915,10.514075,12.26,452.3878022196015,141.78370576499998,64.14121904157898,113.66001470207222,0.564325274897308
62,60,1455.984,37.456325,26.9872,125.541375,14.6525,2.7174,4183.4327,26.0816,10.469125,12.26,438.08804740298854,146.45604822,64.16064419505774,113.20432698857853,0.566768478748441
63,61,1466.3220000000001,37.408975,26.994125,129.564725,14.0139,2.8176,4162.097275,26.121225,10.41485,12.26,435.8538069241676,151.26517728,65.9295033725471,112.75961598083362,0.5846907405551426
64,62,1478.4589,37.299925,26.970925,134.46725,13.399925,2.9207,3920.2908,26.669925,10.329,12.26,410.53189210475404,156.21349271000003,64.13062073452852,114.13227376359465,0.5618973373593175
65,63,1495.999,37.340275,27.0833,138.01885,12.864625,3.01505,3789.1564,26.338425,10.256975,12.26,396.799529864682,160.74184926499998,63.782290217931575,111.88845223431888,0.5700524848119046
66,64,1508.411,37.297,27.1931,141.57925,12.1142,3.11135,3695.1346,26.23475,10.1039,12.26,386.953590004023,165.363796655,63.988114772347494,109.7011578386426,0.583294798642567
67,65,1520.9229,37.12745,27.1815,149.7431,11.456675,3.206425,3557.589625,26.088225,9.94595,12.26,372.5499139205419,169.92694980250002,63.30627052170163,107.29602298694157,0.590015070077726
68,66,1537.1660000000002,37.26195,27.368025,152.7905,10.8202,3.30605,3413.7937,26.096375,9.893925,12.26,357.49163988454353,174.708481565,62.4568215764104,106.73897140512791,0.5851360637470961
69,67,1549.9289,37.05415,27.2245,158.503525,10.1437,3.404875,3370.90095,26.137425,9.82965,12.26,352.99992161326725,179.45161708749998,63.34640676526154,106.17609666797416,0.5966164584421824
0,0,78.926,36.22820769,30.58350769,138.6313385,3.648484615,3.0189461539999995,1816.4844690000002,27.31895385,5.6447,0.0,190.2218085549851,160.92884634507618,30.612176200427697,61.24393060529499,0.49984016208425797
1,1,106.76700000000001,36.240275,30.62764167,132.59061670000003,4.41145,2.914741667,1948.24855,27.73476667,5.612633333,0.0,204.02011083510524,155.9275207301651,31.812350061611454,61.78924045860292,0.5148525831600868
2,2,121.12,36.21298333,30.58333333,128.3990917,5.15545,2.8144083330000003,2112.785342,28.03064167,5.62965,0.0,221.25036338183122,151.1119922648349,33.43358319994719,62.6558945405487,0.5336063501305556
3,3,130.336,36.22908333,30.470125,124.414625,5.909708332999999,2.714475,2285.440925,27.61968333,5.758958333,0.0,239.33081373297335,146.31566196750003,35.01784644056045,63.29084339616373,0.5532845600013445
4,4,139.491,36.23179167,30.42854167,119.50108329999999,6.651925,2.625925,2419.085292,27.77021667,5.80325,0.0,253.32601910234348,142.0656781525,35.9889326974476,64.17082610927206,0.5608301291955403
5,5,147.74200000000002,36.26830833,30.47015833,115.8783,7.339583332999999,2.521658333,2517.2228920000002,28.16695833,5.79815,0.0,263.6029645306315,137.0613681898349,36.12978297746487,65.02512125540949,0.5556280754256834
6,6,155.086,36.30735,30.39716667,111.808375,8.128483333,2.427025,2679.558742,27.776925,5.910183332999999,0.0,280.6027349703482,132.5194129825,37.18530971955457,65.47837104880793,0.5679021808871274
7,7,163.384,36.306325,30.310925,106.1075,8.759516667,2.331066667,2798.102008,27.65294167,5.9954,0.0,293.016556742768,127.9138640026651,37.480879989723626,66.21115754774695,0.5660810258859315
8,8,172.646,36.398225,30.31161667,102.692475,9.430741667000001,2.228775,2933.09265,27.79024167,6.086608332999999,0.0,307.15274370030073,123.00434475750001,37.78112197932383,67.64247481248194,0.5585413911016773
9,9,181.972,36.40163333,30.20113333,96.59104167,10.15435833,2.128575,3027.75695,27.313000000000002,6.2005,0.0,317.06596600354726,118.1952156975,37.47568024212547,67.83398621859341,0.5524617132385672
10,10,189.995,36.48678333,30.347425,94.16439167,10.69426667,2.0318083330000003,3171.931392,27.82005833,6.139358333,0.0,332.16387824704896,113.55087048483492,37.71749751857113,68.35340186080794,0.5518013221255248
11,11,199.482,36.55801667,30.261125,90.90473333,11.31464167,1.937308333,3244.307975,27.6806,6.296891667000001,0.0,339.74313628654613,109.01531463483491,37.037204897303425,69.90758258522771,0.5298023980753387
12,12,208.13299999999998,36.640025,30.30989167,85.94944167,11.93876667,1.841558333,3336.21195,27.5159,6.330133332999999,0.0,349.36729803207226,104.4197646598349,36.48085104035139,69.88950611646099,0.5219789503099536
13,13,216.912,36.63443333,30.13900833,81.00223333,12.519525,1.741241667,3480.0953170000003,27.77894167,6.495425,0.0,364.43472897288734,99.6050361801651,36.299534364653105,72.55493831101802,0.5003041172614537
14,14,224.771,36.71425,30.21595,76.61213333,13.11635833,1.646625,3591.46625,27.23705833,6.4983,0.0,376.09746579076875,95.0638808625,35.75328468062181,71.1736729792269,0.5023386202234771
15,15,237.78799999999998,36.75626364,30.10654545,71.80420909,13.70464545,1.549745455,3681.2593,28.41803636,6.649718182000001,0.0,385.5005719874715,90.4141180363615,34.85469421876012,76.13147674224261,0.4578223845147156
16,16,245.858,36.82659091,30.11656364,67.87138182,14.23839091,1.4534181819999998,3772.605573,27.72733636,6.710027273,0.0,395.0663313161946,85.79086167054459,33.89308098063719,75.00849800339248,0.45185654802878833
17,17,255.613,36.89927273,30.0915,62.78472727,14.77280909,1.3566909090000001,3892.0536090000005,27.37064545,6.807772727000001,0.0,407.57490038134586,81.1484071847277,33.07405397442028,75.20732596557956,0.4397717050803989
18,18,265.519,36.96829091,29.90203636,57.95985455,15.46428182,1.259754545,3971.5776090000004,27.61560909,7.066254545,0.0,415.9026341779658,76.4959173136385,31.814853514602113,78.98544211907749,0.4027938903809442
19,19,278.224,37.01800909,29.86006364,53.82264545,16.02884545,1.166609091,4114.287590999999,28.04069091,7.157945455,0.0,430.84718852906013,72.0253733052723,31.031929591332588,81.31964406716475,0.3816043460015913
20,20,291.681,37.12708182,29.81086364,50.1418,16.68548182,1.0678181820000001,4150.231182,28.02722727,7.316218182,0.0,434.61119257240045,67.2838739905446,29.24232471592171,83.2101933330737,0.35142719352748714
21,21,339.75800000000004,37.66717,29.45978,50.27987,18.486710000000002,1.0710899999999999,4677.128470000001,27.71783,8.20739,4.38,489.7877474819249,67.44090587699999,33.03172937763634,93.03647625458386,0.3550406325283508
22,22,350.995,37.59966,29.53218,55.223530000000004,17.95482,1.16107,4485.73658,27.720640000000003,8.06748,4.38,469.74523565213786,71.759522971,33.708694028297394,91.35884298301382,0.36897023788452304
23,23,363.092,37.48189,29.59872,60.253980000000006,17.36948,1.26465,4416.24943,27.276159999999997,7.88317,4.38,462.4685583284896,76.730876145,35.485617670060044,87.70715667027902,0.404592042625011
24,24,373.591,37.44036667,29.71803333,64.4746,16.81278889,1.355055556,4336.682956000001,27.33327778,7.722333333,4.38,454.13637666499585,81.0699179268868,36.81679878384496,85.9785175902537,0.4282092761741034
25,25,383.039,37.30705556,29.6004,68.26147778,16.2228,1.4536,4195.083844,27.83442222,7.706655556,4.38,439.3081523481382,85.79958808,37.69245851165614,87.36507645211907,0.4314362219131544
26,26,392.014,37.20446667,29.68442222,71.17737778,15.68243333,1.549044444,4069.8337109999998,27.59175556,7.520044444,4.38,426.1919891066608,90.3804728031132,38.519433480359275,84.36367307598468,0.45658791368253476
27,27,400.47,37.25882222,29.95202222,76.52711111,15.15995556,1.648455556,4037.5714,27.63811111,7.3068,4.38,422.813487803007,95.1517389468868,40.23143861465442,81.9417157879724,0.49097627780647096
28,28,417.124,37.227,29.82008889,81.65015556,14.62862222,1.742266667,3949.3808329999997,27.56636667,7.406911111,4.38,413.57819323345586,99.6542313626651,41.21481695503982,82.92945057878372,0.4969864947541812
29,29,427.37199999999996,37.11261111,30.02438889,85.92417778,14.06218889,1.841688889,3856.688989,28.16773333,7.088222222000001,4.38,403.8715260392777,104.4260307342217,42.17470039085463,80.83377674466617,0.5217460087764306
30,30,436.36400000000003,37.06912222,29.91214444,89.77148889,13.48012222,1.9402,3770.6322560000003,27.83163333,7.156977778,4.38,394.8596860434173,109.15410106,43.10055407490304,80.70164967483426,0.5340727760654858
31,31,447.645,37.03025,30.003025,95.1256625,12.82485,2.03065,3635.088963,27.322,7.027225,4.38,380.6656256085641,113.495275945,43.20375022122004,77.68181025253955,0.556163020413233
32,32,457.735,36.9072,29.9669125,100.3564,12.2339875,2.1298875,3542.0626880000004,27.2406625,6.9402875,4.38,370.9239368820015,118.25820952875,43.86480064702057,76.4203918014967,0.5739934016690225
33,33,468.03,36.8675125,30.00315,102.8708375,11.631775,2.2243,3386.555125,28.0316,6.8643625,4.38,354.63922298399433,122.78956579,43.54599620230765,77.71348139719859,0.5603403092925572
34,34,477.73699999999997,36.9602,30.284275,106.341675,10.8531625,2.3195875,3245.6522,27.65765,6.675925,4.38,339.883903199211,127.36291793875,43.28860567186316,74.40970296885665,0.5817602267540447
35,35,486.10900000000004,36.7591875,30.0033,111.8377125,10.273875,2.41915,3219.00635,27.5998875,6.7558875,4.38,337.09355631544423,132.14144999500002,44.544031315493996,75.21430473755152,0.5922281867913741
36,36,495.38199999999995,36.7135,30.12885,117.349625,9.54925,2.518125,2983.075863,27.4151625,6.58465,4.38,312.38697351977356,136.8917848125,42.76321035729698,72.6688332578706,0.5884670007780177
37,37,570.992,37.9054,29.45284286,116.43318570000001,13.25488571,2.523528571,3868.542043,27.65124286,8.452557143,8.76,405.11277495015946,137.1511308237163,55.561675195548055,95.76185054832345,0.5802067825277715
