,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
197.388042,699.528317,42.547,35.157,7.39,2623.8095,25.3669,121.5790688,121.5790688,7.783,0.109,7.4219086177,2500,35.12,23.8277063878,2423.0396747062,7.6493356291,2.4796365169,6.1404,2.3868,76.126274272,33.405634907,18.5764644,0.4388187288,0.5560877514,0.2440217202,7.2982265675,41.6996623031,35.2804790003,7.4391,2.6136057855,25.3562705238,2624.9907280386
197.659437,699.799712,42.4957,35.0861,7.4096,2665.6962,25.4914,123.453032,123.453032,7.8673,0.117,7.4649089376,2500,35.12,23.8277063878,2423.0396747062,7.6493356291,2.4796365169,6.1404,2.427,76.7172353509,34.4620438749,19.0939371,0.4492086259,0.5540570133,0.2488871896,7.3735572173,41.6458329735,35.2708325763,7.4391,2.6003728421,25.3435828773,2629.2472941817
197.857849,699.998124,42.6949,35.4197,7.2752,2665.6962,25.4914,121.5930536,121.5930536,7.8588,0.109,7.4891552449,2500,35.12,23.8277063878,2423.0396747062,7.6493356291,2.4796365169,6.1404,2.3871,75.2269343606,33.9428289461,18.75974148,0.451205798,0.5526864455,0.2493753287,7.4596887132,41.6246725736,35.2442061276,7.4391,2.5874375121,25.3325324996,2632.822506014
198.087213,700.227488,42.7303,35.4087,7.3216,2679.6652,25.5379,123.4390472,123.4390472,7.8331,0.125,7.4906210953,2500,35.12,23.8978687514,2452.6664153511,7.6797256436,2.5431335477,6.1404,2.4267,75.8796063811,34.6387103765,19.00858377,0.4564956518,0.5487670749,0.2505097835,7.552732147,41.6393208111,35.2090460872,7.4391,2.5750537703,25.3231315378,2647.9515758042
198.348182,700.488457,42.5367,35.2034,7.3333,2679.6652,25.5379,123.9844544,123.9844544,7.8021,0.109,7.4776829542,2500,35.12,23.8978687514,2452.6664153511,7.6797256436,2.5431335477,6.1404,2.4384,76.0095790621,34.7917592088,19.02464064,0.4577286131,0.5468145639,0.250292672,7.6483687454,41.6825529511,35.181751391,7.5006,2.5632909223,25.3153735188,2669.7688160958
198.564033,700.704308,42.536,35.2169,7.3191,2680.121,26.0571,126.2406688,126.2406688,7.8592,0.115,7.4652049465,2500,35.12,23.8978687514,2452.6664153511,7.6797256436,2.5431335477,6.1404,2.4868,77.3939452816,35.4309099198,19.54425856,0.457799506,0.5516160495,0.252529555,7.7421446785,41.7422707438,35.1785692869,7.5248,2.5522245895,25.3092393407,2682.8928535058
198.799827,700.940102,42.5299,35.1381,7.3918,2680.121,26.0571,120.3623912,120.3623912,7.9595,0.11,7.4629528259,2500,35.12,23.9088406136,2489.1727912035,7.6797256436,2.5431335477,6.1404,2.3607,78.2179724373,33.7811030381,18.78999165,0.4318841564,0.5562278896,0.2402260128,7.8297018107,41.8053072937,35.2029026379,7.5248,2.5421161836,25.3047051179,2682.9675244891
199.044111,701.184386,42.5043,35.1643,7.34,2699.7839,26.0348,122.3295864,122.3295864,7.9367,0.117,7.4690157773,2500,35.12,23.9088406136,2489.1727912035,7.6797256436,2.5431335477,6.1404,2.4029,77.5644014541,34.585107345,19.07109643,0.4458889219,0.5514251044,0.2458743454,7.9072652579,41.8575833061,35.2408625393,7.5248,2.5334094519,25.3017534567,2679.6045875803
199.266789,701.407064,42.6723,35.2731,7.3992,2699.7839,26.0348,124.2315192,124.2315192,7.8655,0.11,7.4740421188,2500,35.12,23.9088406136,2489.1727912035,7.7026080216,2.6169441189,7.5248,2.4437,78.2348369288,35.1228231338,19.22092235,0.4489409643,0.5472487868,0.2456823981,7.9722660359,41.8854134572,35.2704852868,7.5248,2.5264994462,25.3003856074,2682.5399968494
199.496633,701.636908,42.6216,35.2541,7.3675,2690.1923,25.8506,124.7489568,124.7489568,7.9538,0.12,7.4709065819,2500,35.12,23.8813961053,2523.4787683325,7.7026080216,2.6169441189,7.5248,2.4548,77.3248539695,35.1438118638,19.52498824,0.4544956771,0.5555740031,0.2525059827,8.0236638648,41.881204643,35.2764886443,7.5248,2.5215253626,25.3006292461,2692.0334062605
