,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM),
740,175.357935,41.9813,35.0916,6.8897,2989.2133,25.3353,104.2985176,104.2985176,9.7418,0.124,6.9166192844,3017.0270362529,35.12,27.5846890093,3154.553073554,5.8917123273,2.077833887,5.8805,2.0161,70.5178128094,32.6485320497,19.64044298,0.4629827663,0.6015720079,0.2785174724,10.2903774103,42.0366192844,35.0830414703,5.8805,1.7599448139,25.3505017379,3008.1580141168,1.7599448139
741,175.560843,41.933,35.0874,6.8456,2989.2133,25.3353,105.8042144,105.8042144,9.6035,0.11,6.8793170307,3017.0270362529,35.12,27.5846890093,3154.553073554,5.8917123273,2.077833887,5.8805,2.0484,70.0318022847,33.1198598438,19.6718094,0.472925996,0.5939581113,0.2808982313,10.2455435616,41.9993170307,35.0304211006,5.8805,1.7612162609,25.3547740891,3003.4374990649,1.7612162609
742,175.790295,41.7937,35.0892,6.7045,2927.4997,25.7054,106.4055608,106.4055608,9.5301,0.122,6.8375486661,3017.0270362529,35.12,27.5905517663,3145.321653283,5.8917123273,2.077833887,5.8805,2.0613,69.4771031893,32.6204390213,19.64439513,0.4695135163,0.602211243,0.2827463183,10.2120005852,41.9575486661,34.9808496634,5.8805,1.7614865512,25.3595202695,2994.7200933383,1.7614865512
743,176.051485,42.1627,35.3849,6.7778,2927.4997,25.7054,100.5132984,100.5132984,9.545,0.109,6.8025699907,3017.0270362529,35.12,27.5905517663,3145.321653283,5.869763864,2.0610116805,5.8805,1.9349,70.2967172013,30.8140655116,18.4686205,0.4383428806,0.599356826,0.2627237976,10.187134158,41.9225699907,34.9533672731,5.8805,1.7618861187,25.3647048445,2976.0749324539,1.7618861187
744,176.331275,41.9538,34.9914,6.9624,2913.9497,25.9805,103.5340152,103.5340152,9.5972,0.117,6.7828441841,3017.0270362529,35.12,27.6044502742,3136.2363754566,5.869763864,2.0610116805,5.8805,1.9997,73.1352555089,31.5932078856,19.19152084,0.4319832845,0.6074571759,0.262411346,10.1655569258,41.9028441841,34.9616372295,5.8805,1.7635767344,25.3702890051,2947.575622709,1.7635767344
745,176.546886,42.0284,35.2419,6.7865,2913.9497,25.9805,103.08184,103.08184,9.5139,0.11,6.7823625547,3017.0270362529,35.12,27.6044502742,3136.2363754566,5.869763864,2.0610116805,5.8805,1.99,71.1473562222,31.455227483,18.932661,0.4421137925,0.6018923567,0.2661049125,10.1409834479,41.9023625547,35.0064126062,5.8805,1.7672878806,25.3762386093,2920.8163460917,1.7672878806
746,176.732482,42.0742,35.0776,6.9966,2918.3383,25.7211,100.378112,100.378112,9.5831,0.113,6.8008097418,3017.0270362529,35.12,27.6044502742,3136.2363754566,5.869763864,2.0610116805,5.8805,1.932,72.7876885903,30.6763211063,18.5145492,0.4214493096,0.6035452927,0.2543637469,10.1082879486,41.9208097418,35.0739048969,5.8805,1.7730157154,25.3825342967,2909.2233718692,1.7730157154
747,176.965834,42.1469,35.2645,6.8824,2918.3383,25.7211,104.1353616,104.1353616,9.5391,0.109,6.8332647059,3017.0270362529,35.12,27.6583411272,3123.1280044229,5.869763864,2.0610116805,5.8805,2.0126,71.5099656997,31.8245654089,19.19839266,0.4450367875,0.6032570253,0.2684715686,10.0649195476,41.9532647059,35.141556003,5.8805,1.7800559301,25.389178798,2912.3412850219,1.7800559301
748,177.242958,42.2666,35.3574,6.9092,2915.7163,25.5184,102.8907144,102.8907144,9.5694,0.116,6.8726443965,3017.0270362529,35.12,27.6583411272,3123.1280044229,5.8615404789,2.0101503225,5.8805,1.9859,71.2439057456,31.4159404376,19.00387146,0.4409631969,0.6049117485,0.2667438185,10.0113630108,41.9926443965,35.1899287725,5.8805,1.7872745176,25.3961975126,2918.4637711736,1.7872745176
749,177.505578,41.8481,34.9145,6.9336,2915.7163,25.5184,109.1512432,109.1512432,9.6261,0.109,6.9135317543,3017.0270362529,35.12,27.6736173507,3109.0014423543,5.8615404789,2.0101503225,5.8805,2.1202,71.5147529146,33.3274870824,20.40925722,0.4660225439,0.6123851213,0.2853852721,9.9507842353,42.0335317543,35.2124106947,5.8805,1.7935174263,25.4036320303,2919.6543601423,1.7935174263
750,177.708628,42.1762,35.2523,6.9239,2917.9916,25.6742,103.3289048,103.3289048,9.5114,0.123,6.9517293098,3017.0270362529,35.12,27.6736173507,3109.0014423543,5.8615404789,2.0101503225,5.8805,1.9953,71.8430487411,31.5743545296,18.97809642,0.4394907383,0.6010604715,0.2641605103,9.8881512906,42.0717293098,35.2142880759,5.8805,1.7980655059,25.4115296224,2917.036941119,1.7980655059
751,177.907992,42.3833,35.4674,6.9159,2917.9916,25.6742,107.9205808,107.9205808,9.532,0.11,6.9818233649,3017.0270362529,35.12,27.6736173507,3109.0014423543,5.8615404789,2.0101503225,5.8805,2.0938,71.7537042169,32.9774392346,19.9581016,0.4595921506,0.6052047116,0.2781473349,9.8290718034,42.1018233649,35.2045617693,5.8805,1.8009181733,25.419932956,2915.255033521,1.8009181733
752,178.137236,42.1774,35.0971,7.0803,2911.5888,25.6188,104.3544568,104.3544568,9.5768,0.123,7.0007518938,3017.0270362529,35.12,27.6530180667,3094.9760033348,5.8615404789,2.0101503225,5.8805,2.0173,73.4309416559,31.8177642281,19.31927864,0.4333018685,0.6071852975,0.263094524,9.7785592112,42.1207518938,35.1922874329,5.8805,1.8027292427,25.428873263,2916.0990802042,1.8027292427
753,178.398507,41.9605,35.124,6.8365,2911.5888,25.6188,102.1401968,102.1401968,9.5416,0.109,7.0128313326,3086.3806517626,35.12,27.6530180667,3094.9760033348,5.8803668062,1.9488204708,5.8805,1.9698,70.7140425049,31.142634437,18.79504368,0.4404024057,0.6035148927,0.2657894106,9.740070923,42.1328313326,35.1867712438,5.8805,1.8044511723,25.4383670519,2916.952906823,1.8044511723
754,178.678746,42.051,35.0299,7.0211,2916.3144,25.6993,105.3800088,105.3800088,9.534,0.123,7.0245054768,3086.3806517626,35.12,27.6355519461,3082.6883621535,5.8803668062,1.9488204708,5.8805,2.0393,72.9998822573,32.1826046591,19.4426862,0.4408583091,0.6041365019,0.2663385967,9.7150947814,42.1445054768,35.1922147116,5.8805,1.8068783893,25.4484144549,2915.1070926062,1.8068783893
755,178.900548,42.1933,35.2651,6.9282,2916.3144,25.6993,103.31492,103.31492,9.5246,0.109,7.0347306055,3086.3806517626,35.12,27.6355519461,3082.6883621535,5.8803668062,1.9488204708,5.8805,1.995,71.9613546602,31.5519353586,19.001577,0.438456662,0.6022317422,0.2640525194,9.7032082116,42.1547306055,35.20219779,5.8805,1.8103046007,25.4589985038,2912.4534086351,1.8103046007
756,179.087549,42.2629,35.446,6.8169,2909.9189,25.7185,102.8394368,102.8394368,9.5227,0.123,7.0366044654,3086.3806517626,35.12,27.6355519461,3082.6883621535,5.8803668062,1.9488204708,5.8805,1.9848,70.7699666772,31.3378496299,18.90065496,0.4428128357,0.6031254596,0.2670716951,9.7024022133,42.1566044654,35.2056159019,5.8805,1.8144609714,25.470085916,2912.6798497921,1.8144609714
757,179.333103,42.0064,35.3525,6.6539,2909.9189,25.7185,110.9552824,110.9552824,9.4795,0.109,7.0279004849,3086.3806517626,35.12,27.6183415969,3071.9696743154,5.8803668062,1.9488204708,5.8805,2.1589,68.946430964,33.8109587497,20.46529255,0.4903946191,0.6052857803,0.2968288897,9.7095724341,42.1479004849,35.1997940238,5.8805,1.8187190715,25.4816293427,2914.6516476822,1.8187190715
758,179.607332,42.2648,35.2615,7.0033,2910.3117,25.7629,106.4615,106.4615,9.5135,0.122,7.0149357658,3086.3806517626,35.12,27.6183415969,3071.9696743154,5.8994009305,1.8853625629,5.8805,2.0625,72.9810622256,32.4459656186,19.62159375,0.4445806162,0.604746796,0.2688587032,9.7210994708,42.1349357658,35.1953670092,5.8805,1.8224608526,25.4935702862,2913.940536465,1.8224608526
759,179.870606,42.1457,35.3,6.8457,2910.3117,25.7629,101.4409568,101.4409568,9.7581,0.108,7.0064132177,3086.3806517626,35.12,27.6068253095,3062.8555141725,5.8994009305,1.8853625629,5.8805,1.9548,71.2148942962,30.9158690856,19.07513388,0.4341208309,0.6170013797,0.2678531516,9.7334809157,42.1264132177,35.2064446003,5.8805,1.8254500687,25.5058421891,2910.4345774732,1.8254500687
760,180.075335,42.1383,35.2731,6.8652,2946.5017,25.8594,98.9703088,98.9703088,9.8699,0.115,7.0071761716,3086.3806517626,35.12,27.6068253095,3062.8555141725,5.8994009305,1.8853625629,5.8805,1.9018,71.7009918715,30.5379752513,18.77057582,0.4259072916,0.614663404,0.2617896256,9.7441249324,42.1271761716,35.2369461497,5.8805,1.8278431074,25.5183737117,2909.5593358617,1.8278431074
