,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM),
702,165.213257,41.6722,35.3519,6.3203,2909.1337,25.4771,99.1754192,99.1754192,9.5245,0.118,6.5755887717,3400,35.12,25.3451769954,2962.5889838873,3.3495956726,1.9100934118,3.9621086888,1.9062,64.6022184134,30.2131734304,18.1556019,0.4676801226,0.6009167472,9.7408016832,41.6955887717,35.2704886096,3.2862,1.654975315,25.6230950145,2932.0294147431,2632.0294147431
703,165.453454,41.8072,35.3342,6.473,2905.9973,25.4771,98.3549776,98.3549776,9.5457,0.116,6.5750319639,3400,35.12,25.3397313088,2963.9638655409,3.3495956726,1.9100934118,3.9621086888,1.8886,66.2944899986,29.9309270019,18.02800902,0.4514843843,0.6023204366,9.7417797268,41.6950319639,35.2691794163,3.2862,1.6663686752,25.6302845967,2933.9838715169,2633.9838715169
704,165.733613,41.4889,35.2236,6.2653,2905.9973,25.6214,95.1384736,95.1384736,9.5405,0.118,6.5696245015,3400,35.12,25.3397313088,2963.9638655409,3.3495956726,1.9100934118,3.9769369026,1.8196,64.3551391726,28.9520955409,17.3598938,0.4498800859,0.599607506,9.743426765,41.6896245015,35.2660970483,3.2862,1.676456335,25.6379389902,2929.3596978673,2629.3596978673
705,165.928127,41.415,35.2798,6.1352,2905.2141,25.6214,97.5858136,97.5858136,9.528,0.115,6.5601370688,3400,35.12,25.3397313088,2963.9638655409,3.3495956726,1.9100934118,3.9769369026,1.8721,62.9051619275,29.688854961,17.8373688,0.4719621419,0.6008102644,9.7456032484,41.6801370688,35.2615765686,3.2862,1.6844811983,25.6458774065,2920.4814387795,2620.4814387795
706,166.166059,41.6624,35.2713,6.3911,2905.2141,25.7464,97.4366424,97.4366424,9.5708,0.115,6.5480242337,3400,35.12,25.3306522633,2964.899010667,3.3495956726,1.9100934118,3.9769369026,1.8689,66.0780043593,29.6434721132,17.88686812,0.4486133079,0.6033999004,9.7479035904,41.6680242337,35.2567351366,3.2862,1.6903852057,25.6539108586,2907.4663254376,2607.4663254376
707,166.41614,41.8897,35.3818,6.5079,2909.1337,25.7464,96.5229688,96.5229688,9.5449,0.117,6.5345264472,3400,35.12,25.3306522633,2964.899010667,3.3495956726,1.9100934118,3.9874095669,1.8493,67.3861026812,29.4051209453,17.65138357,0.4363677342,0.6002826379,9.7498583973,41.6545264472,35.2528214046,3.2862,1.6946608964,25.6618497259,2891.8028919218,2591.8028919218
708,166.637272,41.5866,35.2102,6.3764,2909.1337,25.6488,96.0008696,96.0008696,9.5591,0.11,6.5207153931,3400,35.12,25.3306522633,2964.899010667,3.3495956726,1.9100934118,3.9874095669,1.8381,65.6635063107,29.2460666775,17.57058171,0.4453930093,0.6007844372,9.7511237779,41.6407153931,35.2508518941,3.2862,1.698140834,25.6695127288,2878.2049976527,2578.2049976527
709,166.870706,41.6984,35.3959,6.3025,2907.0769,25.6488,97.1895776,97.1895776,9.5724,0.113,6.5080728494,3400,35.12,25.3181798138,2964.6190684258,3.3495956726,1.9100934118,3.9874095669,1.8636,64.8390027738,29.587265733,17.83912464,0.4563189511,0.6029325184,9.7515924837,41.6280728494,35.2514944175,3.2862,1.7017870066,25.6767349787,2870.9446396117,2570.9446396117
710,167.119944,41.6386,35.3531,6.2855,2907.0769,25.6273,99.212712,99.212712,9.5018,0.11,6.4984763126,3400,35.12,25.3181798138,2964.6190684258,3.3495956726,1.9100934118,3.9939926775,1.907,64.5951414541,30.2031652624,18.1199326,0.4675764242,0.599934889,9.751392134,41.6184763126,35.2550212737,3.2862,1.7063925903,25.6833731959,2870.4420494946,2570.4420494946
711,167.333578,41.7021,35.3122,6.3899,2903.8752,25.6273,101.5808048,101.5808048,9.4823,0.113,6.4935266153,3400,35.12,25.3181798138,2964.6190684258,3.3495956726,1.9100934118,3.9939926775,1.9578,65.7589576191,30.8900217808,18.56444694,0.4697462201,0.6009852331,9.7507624336,41.6135266153,35.2613588525,3.2862,1.712254391,25.6893079049,2873.2356787524,2573.2356787524
712,167.572448,41.7461,35.3354,6.4107,2903.8752,25.2546,97.627768,97.627768,9.4915,0.112,6.4939924884,3400,35.12,25.3064941082,2963.1231861374,3.3495956726,1.9100934118,3.9939926775,1.873,65.0311188087,29.6879305679,17.7775795,0.4565188345,0.5988150457,9.7498346449,41.6139924884,35.270194483,3.2862,1.7189749167,25.6944432786,2875.3882467883,2575.3882467883
713,167.819726,41.3398,35.0263,6.3135,2895.9018,25.2546,94.9753176,94.9753176,9.6408,0.113,6.499673014,3400,35.12,25.3064941082,2963.1231861374,3.3495956726,1.9100934118,4.0008869623,1.8161,63.9633240305,28.8020369266,17.50865688,0.450289871,0.6078964805,9.7484846814,41.619673014,35.2809258228,3.2862,1.7255407945,25.6987039607,2875.8133497009,2575.8133497009
714,168.038035,41.652,35.1766,6.4754,2895.9018,25.7335,100.005184,100.005184,9.5716,0.11,6.5093472025,3400,35.12,25.3064941082,2963.1231861374,3.3495956726,1.9100934118,4.0008869623,1.924,66.9885390186,30.3273847901,18.4157584,0.4527249771,0.607231996,9.7464916285,41.6293472025,35.2923672068,3.2862,1.7307391771,25.7020285838,2875.6502117979,2575.6502117979
715,168.2673,41.5671,35.2511,6.316,2911.8925,25.7335,101.2778008,101.2778008,9.5776,0.113,6.5207241548,3400,35.12,25.3029722294,2961.2983629778,3.3495956726,1.9100934118,4.0008869623,1.9513,65.2042376484,30.8829101273,18.68877088,0.4736334821,0.6051492817,9.7439178298,41.6407241548,35.3025009747,3.2862,1.7337336142,25.7043641742,2875.8533259434,2575.8533259434
716,168.516692,41.7284,35.344,6.3844,2911.8925,25.564,94.92404,94.92404,9.5956,0.111,6.5308653779,3400,35.12,25.3029722294,2961.2983629778,3.3495956726,1.9100934118,4.0117425381,1.815,65.5353708218,28.9454408872,17.416014,0.4416766171,0.6016841847,9.741310734,41.6508653779,35.3088192064,3.2862,1.7344256434,25.7056667983,2876.0444162323,2576.0444162323
717,168.735526,41.7296,35.2462,6.4834,2910.2856,25.564,96.0987632,96.0987632,9.5195,0.111,6.537215435,3400,35.12,25.3029722294,2961.2983629778,3.3495956726,1.9100934118,4.0117425381,1.8402,66.636263636,29.2874814281,17.5177839,0.4395126592,0.5981321386,9.7395262939,41.657215435,35.3093380095,3.2862,1.7334045232,25.705907176,2874.6467899069,2574.6467899069
718,168.963654,41.597,34.912,6.685,2910.2856,25.4661,99.7348112,99.7348112,9.6245,0.115,6.5386008258,3400,35.12,25.3147948083,2959.7522869859,3.3495956726,1.9100934118,4.0117425381,1.9182,68.6143059441,30.395619397,18.4617159,0.4429924486,0.607380809,9.7393584076,41.6586008258,35.3034663009,3.2862,1.7316299888,25.7050751699,2870.7050355606,2570.7050355606
719,169.24602,41.5915,35.1595,6.432,2914.6391,25.4661,96.0148544,96.0148544,9.5991,0.116,6.5354948916,3400,35.12,25.3147948083,2959.7522869859,3.3495956726,1.9100934118,4.02398524,1.8384,65.8116873772,29.305681941,17.64698544,0.4452960121,0.6021694181,9.7412544035,41.6554948916,35.2918740017,3.2862,1.7300792793,25.7031801279,2866.1000507976,2566.1000507976
