,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM),
730,171.781489,41.7333,35.3317,6.4016,2891.1389,25.6062,99.445792,99.445792,9.4978,0.109,6.5236431535,3400,35.12,25.3801850863,2965.9902271097,3.3495956726,1.9100934118,4.0534848974,1.912,65.8351358779,30.10814407,18.1597936,0.4573263755,0.6031522088,9.7509720878,41.6436431535,35.2009280064,3.2862,1.7271122603,25.6353803532,2867.0907306714,2567.0907306714
731,172.026794,41.4571,35.2407,6.2164,2901.4787,25.6062,98.7512136,98.7512136,9.5155,0.114,6.5236481798,3400,35.12,25.3801850863,2965.9902271097,3.3495956726,1.9100934118,4.0608642887,1.8971,63.7722882542,30.0047799297,18.05185505,0.470498719,0.6016326429,9.7405470713,41.6436481798,35.2060104585,3.2862,1.7211728606,25.6288595872,2865.5950983854,2565.5950983854
732,172.245779,41.4253,35.1051,6.3202,2901.4787,25.8817,95.0312568,95.0312568,9.4947,0.11,6.5186309949,3400,35.12,25.3801850863,2965.9902271097,3.3495956726,1.9100934118,4.0608642887,1.8173,65.6270357835,28.8745003001,17.25471831,0.4399787367,0.5975763435,9.7292232727,41.6386309949,35.210678834,3.2862,1.7156627386,25.6230196472,2870.2662473556,2570.2662473556
733,172.477824,42.0296,35.4741,6.5555,2900.6806,25.8817,96.6301856,96.6301856,9.5273,0.115,6.5095678888,3400,35.12,25.3478422789,2964.9569172968,3.3495956726,1.9100934118,4.0608642887,1.8516,68.2761199665,29.352246201,17.64074868,0.4299050124,0.6010016596,9.7180211069,41.6295678888,35.215327233,3.2862,1.7111898545,25.6179891235,2876.7082994725,2576.7082994725
734,172.726968,41.5488,34.9914,6.5574,2900.6806,25.4613,96.8073264,96.8073264,9.5268,0.117,6.4981249129,3400,35.12,25.3478422789,2964.9569172968,3.3495956726,1.9100934118,4.0643430908,1.8554,67.1881449592,29.4060542356,17.67602472,0.4376673036,0.6011015479,9.7080149617,41.6181249129,35.2202664168,3.2862,1.7081269785,25.613874493,2877.116610969,2577.116610969
735,172.948855,41.5396,35.3067,6.2329,2909.1337,25.4613,94.0896136,94.0896136,9.5304,0.116,6.4865530078,3400,35.12,25.3478422789,2964.9569172968,3.3495956726,1.9100934118,4.0643430908,1.7971,63.5941595577,28.6638144475,17.12708184,0.4507302974,0.5975157937,9.7001425985,41.6065530078,35.2255262266,3.2862,1.7065738931,25.6107600139,2871.6538076461,2571.6538076461
736,173.186493,41.8854,35.6617,6.2237,2909.1337,25.6421,96.9471744,96.9471744,9.4713,0.116,6.4773977364,3400,35.12,25.3145777456,2961.3541676196,3.3495956726,1.9100934118,4.0643430908,1.8584,63.943122217,29.5343525378,17.60146392,0.4618847425,0.595965796,9.695070972,41.5973977364,35.2308680626,3.2862,1.7063483249,25.608704321,2867.6106696854,2567.6106696854
737,173.46824,41.6728,35.4051,6.2677,2905.2141,25.6421,95.8936528,95.8936528,9.5792,0.117,6.4727944343,3400,35.12,25.3145777456,2961.3541676196,3.3495956726,1.9100934118,4.0620576198,1.8358,64.4339027179,29.1740432818,17.58549536,0.4527747358,0.6027788192,9.6930810232,41.5927944343,35.2362188839,3.2862,1.7069796882,25.6077348527,2868.439964362,2568.439964362
738,173.661579,41.5567,35.3214,6.2353,2905.2141,25.7115,96.8772504,96.8772504,9.5415,0.114,6.474043919,3400,35.12,25.3145777456,2961.3541676196,3.3495956726,1.9100934118,4.0620576198,1.8569,64.2459211927,29.4732864342,17.71761135,0.458757317,0.6011413552,9.6940281073,41.594043919,35.2423850896,3.2862,1.7078446842,25.6078451421,2871.3177107202,2571.3177107202
739,173.898965,41.6538,35.154,6.4998,2908.3491,25.7115,97.1895776,97.1895776,9.5463,0.118,6.481449724,3400,35.12,25.3016655501,2958.0209714061,3.3495956726,1.9100934118,4.0620576198,1.8636,67.2041660886,29.6002137632,17.79048468,0.4404520655,0.6010255474,9.6974618705,41.601449724,35.2510023368,3.2862,1.7084593077,25.6089969539,2874.3007726524,2574.3007726524
740,174.153634,41.5921,35.3372,6.2549,2908.3491,25.6698,95.2783216,95.2783216,9.5411,0.114,6.4940781105,3400,35.12,25.3016655501,2958.0209714061,3.3495956726,1.9100934118,4.0589614565,1.8226,64.3605810065,29.0181185679,17.38960886,0.4508678777,0.5992672757,9.7028112281,41.6140781105,35.2633682976,3.2862,1.7087125467,25.6111254439,2878.290421879,2578.290421879
741,174.374242,41.6092,35.2138,6.3954,2914.6391,25.6698,94.8960704,94.8960704,9.5387,0.119,6.5097756336,3400,35.12,25.3016655501,2958.0209714061,3.3495956726,1.9100934118,4.0589614565,1.8144,65.9294253014,28.9642063613,17.30701728,0.4393213839,0.5975312102,9.7094778167,41.6297756336,35.2792799454,3.2862,1.7089135485,25.6141450141,2881.1929555747,2581.1929555747
742,174.612973,41.3423,35.0134,6.3289,2914.6391,25.9716,95.3575688,95.3575688,9.5441,0.109,6.5256243023,3400,35.12,25.2989917288,2956.9295250542,3.3495956726,1.9100934118,4.0589614565,1.8243,65.953278736,29.1050650379,17.41130163,0.441298228,0.5982223921,9.7168439435,41.6456243023,35.2968245091,3.2862,1.7096993505,25.6179548669,2878.5653980807,2578.5653980807
743,174.856562,41.5182,35.0483,6.4699,2907.0769,25.9716,93.5814992,93.5814992,9.5777,0.114,6.5384376616,3400,35.12,25.2989917288,2956.9295250542,3.3495956726,1.9100934118,4.0608017758,1.7862,67.5462166592,28.4888642681,17.10768774,0.4217684672,0.6005043788,9.7242923926,41.6584376616,35.3128400471,3.2862,1.7118246736,25.6224453517,2872.1853447585,2572.1853447585
744,175.074645,41.732,35.314,6.418,2907.0769,25.8674,97.1383,97.1383,9.6082,0.109,6.5451849057,3400,35.12,25.2989917288,2956.9295250542,3.3495956726,1.9100934118,4.0608017758,1.8625,66.6912318922,29.5716553763,17.8952725,0.4434114431,0.6051495012,9.7312962604,41.6651849057,35.3235401222,3.2862,1.7158331979,25.6275064726,2868.8119248498,2568.8119248498
745,175.308006,41.4932,35.0104,6.4828,2918.3383,25.8674,97.5625056,97.5625056,9.6202,0.112,6.5436997348,3400,35.12,25.2914410318,2957.6305973373,3.3495956726,1.9100934118,4.0608017758,1.8716,67.4203683569,29.8158501897,18.00516632,0.4422380197,0.6038790175,9.7375717239,41.6636997348,35.3254298882,3.2862,1.7217545494,25.6330368959,2869.1406837677,2569.1406837677
746,175.5538,41.5891,34.967,6.6221,2918.3383,25.317,96.7001096,96.7001096,9.6004,0.112,6.5335178518,3400,35.12,25.2914410318,2957.6305973373,3.3495956726,1.9100934118,4.0671582914,1.8531,67.5198820229,29.552295356,17.79050124,0.4376828642,0.6020006577,9.7432012675,41.6535178518,35.3163851356,3.2862,1.7290496068,25.6389493349,2867.7885135503,2567.7885135503
747,175.776051,41.7131,35.3843,6.3288,2903.0759,25.317,99.0215864,99.0215864,9.5158,0.111,6.5161232697,3400,35.12,25.2914410318,2957.6305973373,3.3495956726,1.9100934118,4.0671582914,1.9029,64.2898610809,30.1034927709,18.10761582,0.4682463497,0.6015121221,9.7485837816,41.6361232697,35.2961865595,3.2862,1.7368331674,25.6451687786,2864.520219589,2564.520219589
748,176.010292,41.8634,35.38,6.4834,2903.0759,25.564,100.005184,100.005184,9.5493,0.115,6.4945518687,3400,35.12,25.2872007097,2959.4893085169,3.3495956726,1.9100934118,4.0671582914,1.924,66.636263636,30.4025156842,18.3728532,0.4562458041,0.6043201619,9.7541497043,41.6145518687,35.2665310687,3.2862,1.7441767186,25.6516232889,2865.2706537577,2565.2706537577
749,176.284262,41.853,35.5981,6.2549,2899.883,25.564,97.8188936,97.8188936,9.5161,0.111,6.472938787,3400,35.12,25.2872007097,2959.4893085169,3.3495956726,1.9100934118,4.0749933702,1.8771,64.0953140598,29.7051561615,17.86267131,0.4634528529,0.6013323483,9.7599913639,41.592938787,35.231172183,3.2862,1.750308205,25.6582325638,2871.7038270039,2571.7038270039
750,176.471309,41.4742,35.2206,6.2536,2899.883,25.7193,98.1498672,98.1498672,9.4867,0.113,6.4560147624,3400,35.12,25.2872007097,2959.4893085169,3.3495956726,1.9100934118,4.0749933702,1.8842,64.4701458445,29.8056645818,17.87484014,0.4623173128,0.5997128529,9.7656697658,41.5760147624,35.195948995,3.2862,1.7546573897,25.6649015132,2878.4175870138,2578.4175870138
751,176.704759,41.7186,35.3947,6.3239,2900.6806,25.7193,98.2990384,98.2990384,9.4765,0.111,6.4480295457,3400,35.12,25.3066445846,2962.4597419802,3.3495956726,1.9100934118,4.0749933702,1.8874,65.2566400056,29.8591745273,17.8859461,0.4575653071,0.5990100659,9.7702858801,41.5680295457,35.1678199025,3.2862,1.7568265934,25.6715213626,2880.3525730886,2580.3525730886
752,176.953837,41.6117,35.1851,6.4266,2900.6806,25.6132,97.1522848,97.1522848,9.5727,0.112,6.451293231,3400,35.12,25.3066445846,2962.4597419802,3.3495956726,1.9100934118,4.0850722209,1.8628,66.1316715898,29.5108383031,17.83202556,0.4462436469,0.6042534399,9.7727280056,41.571293231,35.1528809399,3.2862,1.7566585566,25.6779757023,2877.6855877924,2577.6855877924
753,177.171592,41.3209,35.1314,6.1895,2914.3063,25.6132,99.7627808,99.7627808,9.6301,0.109,6.4652881,3400,35.12,25.3066445846,2962.4597419802,3.3495956726,1.9100934118,4.0850722209,1.9188,63.4900145823,30.4461483268,18.47823588,0.4795423111,0.6069153865,9.7720669254,41.5852881,35.1543798764,3.2862,1.7544100013,25.6841476234,2873.9568129357,2573.9568129357
754,177.401042,41.6563,35.0776,6.5787,2914.3063,25.7122,96.7933416,96.7933416,9.5855,0.113,6.4867527744,3400,35.12,25.3398532846,2964.3773567691,3.3495956726,1.9100934118,4.0850722209,1.8551,68.0884602961,29.5399187128,17.78206105,0.4338461846,0.6019671626,9.7680560072,41.6067527744,35.171646146,3.2862,1.7507713041,25.689925273,2871.5027920842,2571.5027920842
755,177.650485,41.6746,35.2859,6.3887,2912.6967,25.7122,99.981876,99.981876,9.601,0.109,6.5105349801,3400,35.12,25.3398532846,2964.3773567691,3.3495956726,1.9100934118,4.0976954129,1.9235,65.9633872051,30.4961603553,18.4675235,0.4623195025,0.6055688088,9.76145652,41.6305349801,35.2002360263,3.2862,1.7466074439,25.6952057562,2869.1671951865,2569.1671951865
756,177.863974,41.5268,35.1992,6.3276,2912.6967,25.8766,95.6186184,95.6186184,9.5761,0.11,6.5311175842,3400,35.12,25.3398532846,2964.3773567691,3.3495956726,1.9100934118,4.0976954129,1.8299,65.6973991463,29.1652931145,17.52330539,0.4439337553,0.6008273368,9.7538940883,41.6511175842,35.2332762517,3.2862,1.7426317267,25.6998990329,2865.2374185021,2565.2374185021
757,178.094518,41.7944,35.4448,6.3496,2911.8925,25.8766,97.8049088,97.8049088,9.5167,0.113,6.5443160888,3400,35.12,25.3552369393,2963.250303403,3.3495956726,1.9100934118,4.0976954129,1.8768,65.9450335193,29.8239118999,17.86094256,0.4522541018,0.5988799397,9.7473007324,41.6643160888,35.2636076427,3.2862,1.739200194,25.7039328733,2861.6504382706,2561.6504382706
758,178.370304,41.506,35.0525,6.4535,2911.8925,25.6768,98.7512136,98.7512136,9.5466,0.109,6.5482896423,3400,35.12,25.3552369393,2963.250303403,3.3495956726,1.9100934118,4.1125502646,1.8971,66.5963341761,30.1124711484,18.11085486,0.4521640946,0.6014403391,9.7432457287,41.6682896423,35.2858240317,3.2862,1.7362414241,25.7072583231,2862.1232132817,2562.1232132817
759,178.560136,41.6813,35.2157,6.4656,2914.3063,25.6768,96.112748,96.112748,9.6375,0.112,6.5435879297,3400,35.12,25.3552369393,2963.250303403,3.3495956726,1.9100934118,4.1125502646,1.8405,66.7314814538,29.3322114544,17.73781875,0.4395558261,0.6047214946,9.742467454,41.6635879297,35.2972857946,3.2862,1.7333667733,25.7098533911,2866.6780331044,2566.6780331044
760,178.793614,41.6777,35.1876,6.4901,2914.3063,25.494,96.275904,96.275904,9.5195,0.114,6.5325118596,3400,35.12,25.3558973916,2961.1582272758,3.3495956726,1.9100934118,4.1125502646,1.844,66.5280993672,29.3820042903,17.553958,0.441648034,0.5974390932,9.7448233171,41.6525118596,35.2978699997,3.2862,1.73018778,25.7117224084,2871.6435187077,2571.6435187077
761,179.042483,41.3936,34.9933,6.4003,2900.6806,25.494,99.2966208,99.2966208,9.594,0.111,6.5181894439,3400,35.12,25.3558973916,2961.1582272758,3.3495956726,1.9100934118,4.1311263006,1.9088,65.532246102,30.1621987224,18.3130272,0.4602649919,0.6071515995,9.7495797845,41.6381894439,35.2890633565,3.2862,1.7266484326,25.7128906533,2874.2419546233,2574.2419546233
762,179.257817,41.6416,35.2059,6.4357,2900.6806,25.6132,94.9753176,94.9753176,9.5551,0.113,6.5036277692,3400,35.12,25.3558973916,2961.1582272758,3.3495956726,1.9100934118,4.1311263006,1.8161,66.2330595222,28.8495658774,17.35301711,0.4355765246,0.6015001121,9.7557344093,41.6236277692,35.2730752952,3.2862,1.7230944982,25.7133961989,2874.64138105,2574.64138105
763,179.494091,41.5292,35.2908,6.2384,2905.2141,25.6132,92.8309816,92.8309816,9.5475,0.12,6.4909179192,3400,35.12,25.3611509689,2960.9663709979,3.3495956726,1.9100934118,4.1311263006,1.7701,64.0348354497,28.242276689,16.90002975,0.4410455105,0.5983947377,9.7622277811,41.6109179192,35.2522524612,3.2862,1.7200287278,25.7132820956,2874.4473926331,2574.4473926331
764,179.751413,41.5506,35.1729,6.3777,2905.2141,25.5044,95.4554624,95.4554624,9.5399,0.117,6.4809236788,3400,35.12,25.3611509689,2960.9663709979,3.3495956726,1.9100934118,4.1495939235,1.8264,65.3082502602,29.0407311666,17.42367336,0.4446717076,0.599973646,9.7680860544,41.6009236788,35.2289620097,3.2862,1.7177522984,25.7125913357,2875.9667427505,2575.9667427505
765,179.969216,41.842,35.3971,6.4449,2898.1855,25.5044,97.4086728,97.4086728,9.5144,0.12,6.4735789877,3400,35.12,25.3611509689,2960.9663709979,3.3495956726,1.9100934118,4.1495939235,1.8683,66.0537807641,29.5632668053,17.77575352,0.4475635832,0.6012783918,9.7725027773,41.5935789877,35.2057879968,3.2862,1.71613213,25.7113643411,2883.7646361839,2583.7646361839
766,180.210814,41.6661,35.0831,6.583,2898.1855,25.8163,99.8280432,99.8280432,9.5098,0.112,6.4685619804,3400,35.12,25.373537473,2963.0202743273,3.3495956726,1.9100934118,4.1495939235,1.9202,68.412415914,30.2975391302,18.26071796,0.4428660898,0.6027129095,9.7748627932,41.5885619804,35.1855332217,3.2862,1.7146379866,25.7096374372,2900.7128865075,2600.7128865075
767,180.459771,41.349,35.1277,6.2213,2908.6804,25.8163,96.345828,96.345828,9.5925,0.112,6.4658969609,3400,35.12,25.373537473,2963.0202743273,3.3495956726,1.9100934118,4.1617095812,1.8455,64.3505690926,29.3465826195,17.70295875,0.4560423168,0.603237487,9.7747635556,41.5858969609,35.1707537323,3.2862,1.7126114886,25.7074430876,2919.4956144064,2619.4956144064
768,180.673641,41.4449,35.2572,6.1877,2908.6804,25.6697,98.163852,98.163852,9.4864,0.11,6.4658170133,3400,35.12,25.373537473,2963.0202743273,3.3495956726,1.9100934118,4.1617095812,1.8845,63.6099678196,29.9003460012,17.8771208,0.4700575559,0.597890098,9.772093002,41.5858170133,35.1629943037,3.2862,1.7095346662,25.7048136131,2930.2775783526,2630.2775783526
769,180.90695,41.754,35.4173,6.3367,2899.0859,25.6697,94.69096,94.69096,9.4673,0.114,6.4679423599,3400,35.12,25.3708044148,2965.3506464415,3.3495956726,1.9100934118,4.1617095812,1.81,65.2737179214,28.747376754,17.135813,0.4404127368,0.5960826668,9.7670969732,41.5879423599,35.1623289938,3.2862,1.7051452775,25.7017866557,2939.9406516018,2639.9406516018
770,181.157825,41.7607,35.559,6.2017,2899.0859,25.5149,101.4829112,101.4829112,9.4348,0.111,6.471001202,3400,35.12,25.3708044148,2965.3506464415,3.3495956726,1.9100934118,4.1663575401,1.9557,63.3817534973,30.8093558494,18.45163836,0.4860918821,0.5988972457,9.7602609373,41.591001202,35.1678051757,3.2862,1.6994945089,25.6984082818,2964.6179191425,2664.6179191425
771,181.374079,41.531,35.1393,6.3917,2895.9018,25.5149,94.3739712,94.3739712,9.5545,0.113,6.4736879584,3400,35.12,25.3708044148,2965.3506464415,3.3495956726,1.9100934118,4.1663575401,1.8032,65.4905200521,28.6196737437,17.2286744,0.4370048325,0.6019871,9.7520460346,41.5936879584,35.1784701809,3.2862,1.6930065985,25.694731847,3001.5645098688,2701.5645098688
772,181.608743,41.5237,34.9798,6.5439,2895.9018,25.5359,95.483432,95.483432,9.5023,0.112,6.4755515924,3400,35.12,25.3429382,2965.6318192059,3.3495956726,1.9100934118,4.1663575401,1.827,67.2350452447,28.9561267479,17.3607021,0.4306701459,0.5995519446,9.7427846625,41.5955515924,35.1938001614,3.2862,1.6864209324,25.6908137042,3029.9081025671,2729.9081025671
773,181.856549,41.3966,34.8723,6.5243,2899.0859,25.5359,97.0264216,97.0264216,9.5667,0.112,6.4768184397,3400,35.12,25.3429382,2965.6318192059,3.3495956726,1.9100934118,4.164273229,1.8601,67.0173302839,29.4564031966,17.79501867,0.4395341186,0.6041137661,9.7328591924,41.5968184397,35.2128437552,3.2862,1.6805755981,25.6867080041,3037.5218541837,2737.5218541837
774,182.074495,41.6013,35.1332,6.4681,2899.0859,25.762,97.2734864,97.2734864,9.5317,0.109,6.4775420338,3400,35.12,25.3429382,2965.6318192059,3.3495956726,1.9100934118,4.164273229,1.8654,66.9809235308,29.5314099859,17.78043318,0.4408928457,0.6020854808,9.7229281978,41.5975420338,35.2329397666,3.2862,1.676186789,25.6824628902,3031.3453943161,2731.3453943161
775,182.303863,41.509,35.2865,6.2225,2904.675,25.762,95.8516984,95.8516984,9.5647,0.114,6.4771347911,3400,35.12,25.3029408738,2962.7416346871,3.3495956726,1.9100934118,4.164273229,1.8349,64.2286666137,29.1558681039,17.55026803,0.4539385549,0.6019463378,9.7139560323,41.5971347911,35.2496276234,3.2862,1.6737379946,25.6781198412,3025.7621623805,2725.7621623805
776,182.585862,41.586,35.0147,6.5713,2904.675,25.8023,94.4998344,94.4998344,9.5883,0.117,6.4746680732,3400,35.12,25.3029408738,2962.7416346871,3.3495956726,1.9100934118,4.1574882341,1.8059,68.2439980172,28.7446623648,17.31551097,0.4212042553,0.6023904804,9.707043285,41.5946680732,35.2582239069,3.2862,1.6734176997,25.6737166701,3028.4102649852,2728.4102649852
777,182.780121,41.539,35.201,6.338,2900.5246,25.8023,96.2479344,96.2479344,9.4688,0.118,6.4695023332,3400,35.12,25.3029408738,2962.7416346871,3.3495956726,1.9100934118,4.1574882341,1.8434,65.6254882829,29.2345617928,17.45478592,0.4454757223,0.5970599472,9.7031729317,41.5895023332,35.2557943591,3.2862,1.6750643162,25.6692927364,3035.7794080837,2735.7794080837
778,183.016402,41.5689,35.3513,6.2176,2900.5246,25.4382,94.69096,94.69096,9.5353,0.108,6.4616936904,3400,35.12,25.2845733573,2959.2574428959,3.3495956726,1.9100934118,4.1574882341,1.81,63.3671624338,28.7616429236,17.258893,0.4538887622,0.6000663121,9.7029239121,41.5816936904,35.2421252748,3.2862,1.6781549834,25.6648934507,3040.7433476408,2740.7433476408
779,183.29083,41.7278,35.2749,6.4529,2899.0859,25.4382,97.068376,97.068376,9.526,0.116,6.4520508618,3400,35.12,25.2845733573,2959.2574428959,3.3495956726,1.9100934118,4.1484070582,1.861,65.9708528121,29.4691401985,17.727886,0.4466993974,0.6015745923,9.7062129679,41.5720508618,35.219666266,3.2862,1.6818774467,25.6605708663,3040.7098527252,2740.7098527252
780,183.483348,41.5182,35.0495,6.4687,2899.0859,25.585,96.8632656,96.8632656,9.6557,0.108,6.4420170922,3400,35.12,25.2845733573,2959.2574428959,3.3495956726,1.9100934118,4.1484070582,1.8566,66.5274029888,29.4068704112,17.92677262,0.4420264296,0.6096117121,9.7122717803,41.5620170922,35.1929268302,3.2862,1.6853465851,25.6563789242,3037.5507484441,2737.5507484441
781,183.712762,41.6801,35.3544,6.3257,2915.9179,25.585,94.2807392,94.2807392,9.6367,0.113,6.4334276953,3400,35.12,25.2999522838,2958.5661830161,3.3495956726,1.9100934118,4.1484070582,1.8012,64.9359181991,28.7890204564,17.35762404,0.4433450894,0.6029251348,9.7200068314,41.5534276953,35.1672903502,3.2862,1.6878864816,25.652366112,3034.0089020421,2734.0089020421
782,183.961991,41.8915,35.3464,6.5451,2915.9179,25.6202,100.4993136,100.4993136,9.629,0.112,6.428137382,3400,35.12,25.2999522838,2958.5661830161,3.3495956726,1.9100934118,4.1359698213,1.9346,67.4703774025,30.6878883177,18.6282634,0.4548349883,0.6070233053,9.7285439755,41.548137382,35.1475423422,3.2862,1.6891573181,25.6485702888,3031.7127948284,2731.7127948284
783,184.179435,41.7699,35.3336,6.4363,2915.112,25.6202,98.5321184,98.5321184,9.5608,0.11,6.427799654,3400,35.12,25.2999522838,2958.5661830161,3.3495956726,1.9100934118,4.1359698213,1.8924,66.2578475366,30.0788815001,18.09285792,0.4539670789,0.601513654,9.7375400492,41.547799654,35.1369877966,3.2862,1.6891003802,25.6450173896,3031.0882254538,2731.0882254538
784,184.409027,41.583,35.3537,6.2293,2915.112,25.7906,96.2199648,96.2199648,9.4937,0.111,6.4338628775,3400,35.12,25.3206794614,2960.7419158732,3.3495956726,1.9100934118,4.1359698213,1.8428,64.3762580053,29.3730507997,17.49499036,0.4562714844,0.5956136623,9.7470181182,41.5538628775,35.13735341,3.2862,1.6878541741,25.6417227644,3031.3648084688,2731.3648084688
785,184.686593,41.5866,35.2065,6.3801,2899.0859,25.7906,97.767616,97.767616,9.4714,0.113,6.4472399577,3400,35.12,25.3206794614,2960.7419158732,3.3495956726,1.9100934118,4.1215590911,1.876,66.0680377497,29.6814235646,17.7683464,0.4492554127,0.5986352495,9.7568645597,41.5672399577,35.1488855381,3.2862,1.6856781184,25.6386943047,3029.7603818111,2729.7603818111
786,184.875574,41.4394,35.0532,6.3862,2899.0859,25.7883,97.767616,97.767616,9.5718,0.116,6.4674806123,3400,35.12,25.3206794614,2960.7419158732,3.3495956726,1.9100934118,4.1215590911,1.876,66.130573775,29.6814235646,17.9566968,0.4488305767,0.6049809828,9.7663902271,41.5874806123,35.1702659743,3.2862,1.6828083516,25.6359372066,3024.4088807004,2724.4088807004
787,185.114804,41.8127,35.515,6.2977,2899.7443,25.7883,96.6441704,96.6441704,9.4739,0.118,6.4922001105,3400,35.12,25.3333801881,2963.9450408098,3.3495956726,1.9100934118,4.1215590911,1.8519,65.1378074941,29.3470183291,17.54471541,0.4505373984,0.5978363871,9.7743242021,41.6122001105,35.1985124927,3.2862,1.6793089603,25.6334592419,3019.9877648868,2719.9877648868
788,185.366373,41.8005,35.1686,6.6319,2899.7443,25.7324,96.1267328,96.1267328,9.5305,0.113,6.5175785523,3400,35.12,25.3333801881,2963.9450408098,3.3495956726,1.9100934118,4.111976107,1.8408,68.7374398282,29.1898929622,17.5437444,0.4246578435,0.6010211967,9.7792394091,41.6375785523,35.2293944968,3.2862,1.6751094858,25.6312746916,3023.4435638263,2723.4435638263
789,185.584563,41.7718,35.3721,6.3997,2891.1389,25.7324,96.9844672,96.9844672,9.4962,0.112,6.5398690385,3400,35.12,25.3333801881,2963.9450408098,3.3495956726,1.9100934118,4.111976107,1.8592,66.1383365162,29.3629549555,17.65533504,0.4439627076,0.6012792332,9.7800562382,41.6598690385,35.2585447884,3.2862,1.6702292684,25.6294058799,3032.7300731626,2732.7300731626
790,185.818105,41.4663,35.3519,6.1144,2891.1389,25.4591,95.3715536,95.3715536,9.5226,0.114,6.5568233005,3400,35.12,25.3385159404,2965.408034968,3.3495956726,1.9100934118,4.111976107,1.8246,62.2763365556,28.8746302706,17.37493596,0.4636533211,0.6017370888,9.7763491749,41.6768233005,35.2826079345,3.2862,1.6649874751,25.6278820361,3038.4481208975,2738.4481208975
791,186.071302,41.6031,35.0721,6.531,2906.2758,25.4591,95.9449304,95.9449304,9.5897,0.108,6.5679015536,3400,35.12,25.3385159404,2965.408034968,3.3495956726,1.9100934118,4.1085522636,1.8369,66.889972756,29.2003108856,17.61531993,0.4365424246,0.6032579584,9.7684521288,41.6879015536,35.2997734052,3.2862,1.6600739357,25.6267350384,3036.0528665573,2736.0528665573
792,186.291862,41.7693,35.0935,6.6758,2906.2758,25.557,97.8888176,97.8888176,9.5902,0.116,6.5734433325,3400,35.12,25.3385159404,2965.408034968,3.3495956726,1.9100934118,4.1085522636,1.8786,68.7569441802,29.7919222436,18.01614972,0.4332932855,0.6047327048,9.7574537824,41.6934433325,35.3095787427,3.2862,1.6564658617,25.6259921547,3028.1187480679,2728.1187480679
793,186.522493,41.6667,35.322,6.3447,2909.9189,25.557,95.7444816,95.7444816,9.5861,0.116,6.5740115026,3400,35.12,25.3348625327,2964.0527273266,3.3495956726,1.9100934118,4.1085522636,1.8326,65.0760775042,29.1758323522,17.56748686,0.4483342185,0.6021246163,9.7451051883,41.6940115026,35.3122161452,3.2862,1.6552114564,25.6256682046,3015.9843506663,2715.9843506663
794,186.775276,41.6288,35.2694,6.3594,2909.9189,25.6421,97.1243152,97.1243152,9.4965,0.116,6.5704455782,3400,35.12,25.3348625327,2964.0527273266,3.3495956726,1.9100934118,4.1058852214,1.8622,65.4567338982,29.5963035179,17.6843823,0.4521506307,0.597519967,9.7335431499,41.6904455782,35.3080523432,3.2862,1.6571851465,25.6257605907,2997.3706519517,2697.3706519517
795,186.997481,41.5952,35.4423,6.1529,2895.1069,25.6421,99.6648872,99.6648872,9.4745,0.109,6.5639994183,3400,35.12,25.3348625327,2964.0527273266,3.3495956726,1.9100934118,4.1058852214,1.9167,63.1534117746,30.215890742,18.15977415,0.4784522307,0.6010007881,9.724752247,41.6839994183,35.2978987803,3.2862,1.6629550779,25.6262485344,2972.7048684326,2672.7048684326
796,187.226815,41.8762,35.4771,6.3991,2895.1069,25.5921,100.378112,100.378112,9.4682,0.115,6.5561147545,3400,35.12,25.32906264,2962.1545283459,3.3495956726,1.9100934118,4.1058852214,1.932,65.7710530174,30.4321225889,18.2925624,0.462697816,0.601093872,9.7199182266,41.6761147545,35.2836210798,3.2862,1.6727677792,25.6270954443,2946.9996696196,2646.9996696196
797,187.476747,41.7174,35.2493,6.4681,2900.5246,25.5921,97.8468632,97.8468632,9.5811,0.118,6.5482184857,3400,35.12,25.32906264,2962.1545283459,3.3495956726,1.9100934118,4.0978750468,1.8777,66.5391853541,29.7202239849,17.99043147,0.446657467,0.6053262411,9.7190416799,41.6682184857,35.2683460251,3.2862,1.6865442873,25.628252533,2924.5543664067,2624.5543664067
798,187.702154,41.7351,35.091,6.6441,2900.5246,25.4976,95.2223824,95.2223824,9.578,0.117,6.5418064709,3400,35.12,25.32906264,2962.1545283459,3.3495956726,1.9100934118,4.0978750468,1.8214,68.2455456613,28.923058346,17.4453692,0.4238087346,0.603164748,9.7211129403,41.6618064709,35.2558353521,3.2862,1.7038570028,25.6296620034,2905.2902081809,2605.2902081809
799,187.939583,41.6392,35.3739,6.2653,2897.4064,25.4976,95.5393712,95.5393712,9.4837,0.119,6.538401523,3400,35.12,25.329043023,2961.8124701566,3.3495956726,1.9100934118,4.0978750468,1.8282,64.0441816828,28.9881440765,17.33810034,0.452627285,0.5981100513,9.7247355853,41.658401523,35.2491210215,3.2862,1.7239255665,25.631258937,2885.9066838838,2585.9066838838
