,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
1743,375.514893,41.9361,35.947,5.9891,2938.2707,25.7202,83.5357512,83.5357512,10.234,0.109,6.6441345915,2830.3710092556,35.12,26.5173428843,2838.0648293052,1.8063581349,1.6867689813,1.2159,1.5707,61.5131559825,25.7035319487,16.0745438,0.4178542222,0.6253826841,0.261318795,10.3395455543,41.7641345915,35.8542396085,1.2159,1.6245124861,25.497004485,2938.8154226628
1744,375.734893,41.8921,36.0319,5.8602,2938.2707,26.0714,79.2703872,79.2703872,10.2465,0.113,6.651891503,2830.3710092556,35.12,26.5509348908,2852.522078495,1.8063581349,1.6867689813,1.2555,1.4792,60.8912609864,24.3911008246,15.1566228,0.4005681674,0.6213997027,0.2489129401,10.3274244515,41.771891503,35.8722600192,1.2555,1.6290918176,25.5178695343,2940.7603473459
1745,375.954893,41.7559,35.859,5.8969,2941.6779,26.0714,80.5150344,80.5150344,10.1828,0.113,6.6724119999,2830.3710092556,35.12,26.5509348908,2852.522078495,1.8063581349,1.6867689813,1.4753,1.5059,61.3074699706,24.8028003865,15.33427852,0.4045640833,0.6182478704,0.2501208829,10.3217902505,41.7924119999,35.8960982532,1.4753,1.6334715858,25.5400911939,2940.3708053622
1746,376.174893,41.6661,35.8804,5.7857,2941.6779,25.9485,81.0184872,81.0184872,10.2037,0.113,6.700914313,2830.3710092556,35.12,26.5509348908,2852.522078495,1.8063581349,1.6867689813,1.578,1.5167,59.7633108449,24.9578899222,15.47595179,0.4176122368,0.6200825406,0.2589540568,10.3232976177,41.820914313,35.9242140882,1.578,1.6373311591,25.5635208749,2939.0497889782
1747,376.394893,41.9691,35.9781,5.991,2937.27,25.9485,77.2752224,77.2752224,10.204,0.114,6.7267273592,2830.3710092556,35.12,26.6094619474,2869.5862340683,1.8063581349,1.6867689813,1.578,1.4364,62.0806107328,23.7691007088,14.6570256,0.3828747886,0.6166419916,0.2360966722,10.3314503039,41.8467273592,35.9500100284,1.578,1.6401920525,25.5879827865,2939.303530776
1748,376.614893,41.8671,35.9231,5.944,2937.27,26.0428,84.505364,84.505364,10.1438,0.11,6.7387112912,2830.3710092556,35.12,26.6094619474,2869.5862340683,1.9976297657,1.7262995212,1.578,1.5915,61.7737842467,25.9930213718,16.1438577,0.4207775465,0.6210843083,0.2613383314,10.3447729313,41.8587112912,35.9649183618,1.578,1.6414814331,25.6132815126,2940.54071259
1749,376.834893,41.7901,35.7411,6.049,2938.2707,26.0428,77.7507056,77.7507056,10.2236,0.117,6.734047573,2830.3710092556,35.12,26.6094619474,2869.5862340683,1.9976297657,1.7262995212,1.578,1.4466,62.9632666135,23.9235024132,14.78945976,0.3799596765,0.6181979338,0.2348902869,10.3610990452,41.854047573,35.9645288263,1.578,1.6407259996,25.6392080277,2940.0016247369
1750,377.054893,41.897,36.0246,5.8724,2938.2707,26.1331,81.3494608,81.3494608,10.172,0.11,6.72022688,2830.3710092556,35.12,26.6687179945,2884.1441653177,1.9976297657,1.7262995212,1.578,1.5238,61.1740506368,25.0308213506,15.5000936,0.4091738423,0.6192403111,0.2533769374,10.3779730883,41.84022688,35.9505281209,1.578,1.6377636553,25.665545616,2937.7580272715
1751,377.274893,41.7107,35.8834,5.8273,2943.0832,26.1331,81.4426928,81.4426928,10.2147,0.115,6.7077529136,2830.3710092556,35.12,26.6687179945,2884.1441653177,1.9976297657,1.7262995212,1.578,1.5258,60.6613681222,25.1005525404,15.58558926,0.4137815107,0.6209261424,0.2569277572,10.3931103411,41.8277529136,35.9283428332,1.578,1.6328323147,25.6920766294,2936.8511535795
1752,377.494893,41.7944,35.9317,5.8627,2943.0832,25.8636,79.051292,79.051292,10.2276,0.117,6.7021634742,2830.3710092556,35.12,26.6687179945,2884.1441653177,1.9976297657,1.7262995212,1.578,1.4745,60.4340582131,24.3635253209,15.0805962,0.4031423016,0.6189825159,0.2495380361,10.4048130312,41.8221634742,35.9053987935,1.578,1.6265079216,25.7185892559,2938.759170789
1753,377.714893,41.9129,35.9341,5.9788,2944.6909,25.8636,83.1674848,83.1674848,10.1913,0.108,6.7019658485,2830.3710092556,35.12,26.7023813861,2898.718497003,2.1851428297,1.7646650074,1.578,1.5628,61.7402358028,25.6461335339,15.92696364,0.4153876836,0.6210278684,0.2579673277,10.4122285143,41.8219658485,35.8894878992,1.578,1.6195779276,25.7448820539,2941.8942897495
1754,377.934893,41.9275,35.958,5.9695,2944.6909,26.1467,85.36776,85.36776,9.8993,0.113,6.7028749881,2830.3710092556,35.12,26.7023813861,2898.718497003,2.1851428297,1.7646650074,1.578,1.61,62.3102628726,26.3246264777,15.937873,0.4224765755,0.6054358649,0.2557824709,10.4153201594,41.8228749881,35.8855322273,1.578,1.6129254793,25.7707647449,2944.101618129
1755,378.154893,41.9092,36.0129,5.8963,2905.475,26.1467,84.4214552,84.4214552,9.8245,0.11,6.7040256766,2830.3710092556,35.12,26.7023813861,2898.718497003,2.1851428297,1.7646650074,1.578,1.5897,61.4777154157,25.6861251581,15.61800765,0.4178119662,0.6080328408,0.2540433968,10.4143628547,41.8240256766,35.893730805,1.578,1.607500731,25.796057613,2943.5158823578
1756,378.374893,41.8341,35.9739,5.8602,2905.475,25.9876,86.5844376,86.5844376,9.6733,0.117,6.709220994,2830.3710092556,35.12,26.7620218552,2913.159634382,2.1851428297,1.7646650074,1.578,1.6361,60.6955412448,26.3442355461,15.82648613,0.434039058,0.6007570841,0.2607520389,10.4090432194,41.829220994,35.9108869116,1.578,1.6043462653,25.8205933506,2936.3954476819
1757,378.594893,41.7436,35.8902,5.8534,2870.6791,25.9876,83.2187624,83.2187624,9.7309,0.112,6.7216249976,2830.3710092556,35.12,26.7620218552,2913.159634382,2.1851428297,1.7646650074,1.578,1.5639,60.6186713796,25.0169590542,15.21815451,0.412693952,0.6083135235,0.2510473121,10.3977720807,41.8416249976,35.9325209414,1.578,1.6045058177,25.8442209448,2919.4596461821
1758,378.814893,41.4345,35.49,5.9445,2870.6791,25.5886,84.7803984,84.7803984,9.8056,0.112,6.737371585,2830.3710092556,35.12,26.7620218552,2913.159634382,2.370593615,1.7853990126,1.578,1.5974,60.7019826811,25.4864130901,15.66346544,0.4198612955,0.6145810077,0.2580387781,10.3778669382,41.857371585,35.9525697438,1.578,1.6087550413,25.8668075884,2896.5165494768
1759,379.034893,41.5518,35.4393,6.1125,2865.0253,25.5886,86.6636848,86.6636848,9.6069,0.117,6.7435480323,2830.3710092556,35.12,26.8481104572,2924.3793350533,2.370593615,1.7853990126,1.578,1.6378,62.5719621604,26.0012501482,15.73418082,0.4155415501,0.6051317044,0.2514573665,10.3466381272,41.8635480323,35.9601919014,1.578,1.6172983077,25.8882356736,2876.7617011733
1760,379.254893,41.4076,35.6598,5.7478,2865.0253,25.3983,85.3258056,85.3258056,9.3299,0.11,6.7231177785,2830.3710092556,35.12,26.8481104572,2924.3793350533,2.370593615,1.7853990126,1.578,1.6091,58.0773960815,25.5998532791,15.01274209,0.4407885857,0.5864385989,0.2584954406,10.30260312,41.8431177785,35.9392296635,1.578,1.6296489369,25.9083947284,2866.1248703161
1761,379.474893,41.2225,35.6268,5.5957,2803.2619,25.3983,86.4585744,86.4585744,9.2799,0.119,6.664834749,2830.3710092556,35.12,26.8481104572,2924.3793350533,2.370593615,1.7853990126,1.578,1.6334,56.3969874785,25.3805110247,15.15778866,0.4500330986,0.5972215707,0.268769474,10.2458442856,41.784834749,35.8773668752,1.578,1.644769721,25.9271706503,2861.8143739286
