,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi)
12,12,180.582,36.01792727272728,30.01572272727272,102.77586952727275,9.0949,1.983436363636364,2722.747968181818,26.37026818181818,0.0,6.002204545454546
13,13,189.463,36.13076363636364,30.08145,98.89445185454547,9.743704545454543,1.9001727272727276,2830.630127272728,26.37148181818181,0.0,6.049313636363635
14,14,197.62900000000002,36.11010909090909,29.96233636363636,94.29196941818185,10.423904545454548,1.8014409090909096,2954.7239545454545,26.553254545454546,0.0,6.147772727272727
15,15,207.842,36.22631818181817,30.059013636363634,90.18679494545455,10.995604545454547,1.7133772727272727,3049.294886363637,26.291968181818174,0.0,6.167304545454545
16,16,218.04,36.252345454545456,30.00576363636364,86.29054490909091,11.637218181818184,1.6297954545454545,3161.849872727273,26.867277272727275,0.0,6.246581818181817
17,17,225.99,36.21365,29.88174090909091,81.07929989090908,12.277809090909093,1.5180045454545452,3273.126022727273,26.73792727272728,0.0,6.3319090909090905
18,18,234.169,36.28233181818183,29.842204545454546,76.4079529090909,12.911,1.4177954545454543,3376.405395454545,26.442140909090906,0.0,6.440127272727272
19,19,244.088,36.31009999999999,29.72103636363636,72.86725581818182,13.468827272727273,1.3418409090909091,3474.1873954545454,26.40435,0.0,6.589063636363638
20,20,255.75,36.50338636363636,29.77437727272727,67.33181770909093,14.079295454545456,1.2230954545454549,3576.3420954545454,26.54664090909091,0.0,6.7290090909090905
21,21,264.705,36.43513181818182,29.6946,63.979067854545455,14.593322727272728,1.1511727272727272,3667.064068181818,26.60184545454545,0.0,6.740531818181819
22,22,273.875,36.44693181818183,29.576995454545454,59.40625014545455,15.245154545454545,1.0530772727272728,3777.0271681818176,26.75330909090909,0.0,6.869936363636364
23,23,343.634,37.34489545454546,28.993918181818174,129.48832076363635,10.94494090909091,2.5564681818181816,3248.2004772727278,26.15454090909091,4.4957,8.350977272727274
24,24,363.971,37.31703181818181,29.07419545454545,133.81131909090908,10.303804545454547,2.649204545454545,3134.462236363636,26.294777272727273,4.4957,8.242836363636362
25,25,373.156,37.25833636363637,29.05882272727273,137.96586414545453,9.64425,2.7383272727272727,3020.618245454545,26.001740909090906,4.4957,8.199513636363637
26,26,383.094,37.22675,29.083927272727266,142.09180392727274,9.066918181818183,2.826836363636364,2918.1892090909096,26.12148636363636,4.4957,8.142822727272724
27,27,393.51599999999996,37.1790090909091,29.140472727272726,147.15599665454545,8.33380909090909,2.9354727272727272,2787.3702090909087,26.09032727272727,4.4957,8.038536363636362
28,28,401.691,37.06421363636363,29.0527,151.60189170909092,7.658118181818181,3.030845454545455,2670.569613636363,26.00934545454545,4.4957,8.011513636363635
29,29,410.603,37.06252272727272,29.170772727272727,156.28319756363635,6.900572727272726,3.1312681818181813,2535.552786363637,26.09917727272727,4.4957,7.891749999999999
30,30,418.526,36.96436818181818,29.12032272727273,161.74807600000003,6.174177272727274,3.2485000000000004,2408.749963636364,26.042736363636365,4.4957,7.844045454545455
31,31,425.20099999999996,36.93735,29.204649999999994,166.35267734545457,5.4105227272727285,3.3472772727272733,2273.2840181818187,26.101445454545452,4.4957,7.732699999999999
32,32,445.022,37.386754545454544,28.92390454545455,125.00640425454544,11.656127272727273,2.460322727272727,3375.3180181818184,26.55515909090909,4.4957,8.462850000000001
33,33,453.95,37.48531363636364,28.96705909090909,121.53605494545457,12.282600000000002,2.385877272727273,3483.6713181818177,26.28783636363637,4.4957,8.518254545454546
34,34,461.898,37.489919047619054,28.912080952380947,116.43110853333332,12.92924761904762,2.276366666666666,3594.915271428572,26.34999047619048,4.4957,8.577838095238095
35,35,470.14,37.52886818181818,28.876863636363634,112.56417007272726,13.481850000000005,2.193413636363636,3691.055918181818,26.07414545454545,4.4957,8.652004545454544
36,36,477.10699999999997,37.60851363636364,28.88305909090909,107.74958483636367,14.112281818181822,2.0901318181818187,3800.5185409090914,26.10205000000001,4.4957,8.725454545454543
37,37,484.80400000000003,37.66601363636364,28.84527272727273,104.40976032727272,14.772486363636364,2.0184863636363635,3913.190881818182,26.2827,4.4957,8.820740909090908
38,38,491.996,37.71070454545454,28.7813,100.121724,15.419095454545454,1.9265,4023.616031818183,26.328390909090913,4.4957,8.929404545454545
39,39,501.67699999999996,37.78505,28.660945454545452,94.8214848,16.076209090909092,1.8128,4139.95509090909,26.42146363636364,4.4957,9.124104545454543
40,40,509.852,37.87259090909092,28.65896818181818,91.24137599999999,16.632318181818178,1.7359999999999998,4234.859131818182,26.152018181818182,4.4957,9.213622727272726
41,41,522.774,37.97186818181819,28.68715,87.04826680000001,17.257581818181816,1.6460500000000002,4340.0132772727275,25.97080909090909,4.4957,9.284718181818182
42,42,534.211,38.011295454545454,28.5915,82.04488676363637,17.861572727272726,1.5387181818181819,4442.367231818183,26.159395454545454,4.4957,9.419795454545453
43,43,545.641,38.11632727272728,28.5668,77.9488236,18.45005454545455,1.45085,4539.257904545455,25.94797272727273,4.4957,9.549527272727273
44,44,552.851,38.21023636363636,28.537331818181816,73.13127189090908,18.995604545454547,1.3475045454545451,4628.868713636364,25.95607727272727,4.4957,9.672904545454543
45,45,564.817,38.29956363636365,28.47452727272728,69.1127608,19.51885454545455,1.2613,4716.233586363636,25.92458181818182,4.4957,9.82503636363636
46,46,629.07,39.36547727272728,27.59428181818182,129.83815265454547,15.110486363636365,2.5639727272727275,4128.230336363636,25.49965454545455,6.493799999999999,11.771195454545454
