,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi),
41,41,1639.8129,41.9331681818,28.6610318182,126.9229575273,17.4021545455,2.5014363636,4548.7851636364,25.9998136364,6.4942,13.2721363636,43.5303821856
42,42,1650.29,41.8997454545,28.71025,131.0302509091,16.8467227273,2.5895454545,4457.6877772727,26.0092636364,6.4942,13.1894954545,43.6253542624
43,43,1661.504,41.8652363636,28.7605545455,134.7012609091,16.2850454545,2.6682954545,4364.5422954546,26.0356045455,6.4942,13.1046818182,43.4533127634
44,44,1669.9749,41.9178727273,28.8773272727,140.1087169091,15.7731227273,2.7842954545,4278.2079363636,25.9546772727,6.4942,13.0405454545,43.9170339135
45,45,1679.227,41.6842045455,28.7858045455,142.3763734182,15.2105045455,2.8329409091,4181.8873045455,26.0128409091,6.4942,12.8984,43.0904605747
46,46,1687.467,41.5794863636,28.8103,147.5242630545,14.5419318182,2.9433727273,4073.5231772727,26.1291363636,6.4942,12.7691863636,42.8023255155
47,47,1695.927,41.6982909091,29.0084590909,152.5734115273,13.9958727273,3.0516863636,3972.7943409091,26.2616272727,6.4942,12.6898318182,42.711013949
48,48,1706.899,41.6306227273,29.0056090909,157.4055837091,13.3488181818,3.1553454545,3869.0454,26.54005,6.4942,12.6250136364,42.1201327736
49,49,1717.5959,41.6098227273,29.0976,161.8771175636,12.7089818182,3.2512681818,3759.7607590909,26.5227590909,6.4942,12.5122227273,41.3203082088
50,50,1730.784,41.5943727273,29.1777909091,167.5365118545,12.1172181818,3.3726727273,3659.2833727273,26.4809409091,6.4942,12.4165818182,40.8674112922
51,51,1748.4649,41.4908809524,29.1757285714,171.4251136381,11.5160047619,3.4560904762,3557.1931761905,26.4088285714,6.4942,12.315152381,39.8003543814
52,52,1774.909,42.1408136364,28.7241454545,122.2424992364,17.9956409091,2.4010318182,4650.3034863636,25.9263045455,6.4942,13.4166681818,43.2081064113
53,53,1782.9019,42.2389136364,28.6985772727,117.8896242909,18.5592818182,2.3076545455,4747.7146,25.8318636364,6.4942,13.5403363636,42.8284110481
54,54,1792.1729,42.2494,28.6562952381,113.8417007238,19.0185952381,2.2208190476,4828.6935714286,25.821652381,6.4942,13.5931047619,42.2368585637
