,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
1393,890.416,39.1343,28.7733,114.6601,16.6928,2.4311,4661.7631,26.6727,10.361,10.95
1394,891.556,39.1603,28.3758,117.8495,15.9185,2.4838,4386.6064,27.2535,10.7845,10.95
1395,892.699,39.0402,28.665,113.7713,16.0677,2.488,4418.0454,26.6347,10.3752,10.95
1396,893.846,38.846,28.7766,116.1396,16.1267,2.4859,4633.6816,27.1481,10.0694,10.95
1397,894.989,38.8509,28.3209,114.9821,15.9378,2.4642,4468.0537,26.7108,10.53,10.95
1398,896.137,38.9348,28.4817,116.1551,16.1409,2.4857,4307.2504,26.224,10.4531,10.95
1399,897.292,38.8533,28.704,114.6171,16.0318,2.4778,4509.6958,26.9276,10.1493,10.95
1400,898.442,39.1066,28.7535,116.6243,16.0795,2.4753,4429.1342,26.2335,10.3531,10.95
1401,899.597,38.9052,28.6974,114.3167,16.0291,2.4773,4291.8457,26.4455,10.2078,10.95
1402,900.754,38.8539,28.4715,118.6836,16.1842,2.5544,4245.4833,26.2845,10.3824,10.95
1403,901.913,38.9196,28.4444,124.3635,15.3182,2.5816,4298.8154,26.6981,10.4752,10.95
1404,903.07,38.7677,28.4695,118.0607,15.3992,2.5756,4340.4873,28.0573,10.2982,10.95
1405,904.223,39.1377,28.7535,117.7106,15.3245,2.5885,4318.2036,26.7098,10.3842,10.95
1406,905.383,38.8871,28.4233,123.1672,15.4544,2.5821,4388.7451,26.4945,10.4638,10.95
1407,906.544,39.0177,28.6141,118.3447,15.3252,2.5869,4171.1083,28.0293,10.4036,10.95
1408,907.706,38.9866,28.7932,123.1672,15.4189,2.5837,4309.3129,27.7542,10.1934,10.95
1409,908.865,38.9375,28.5258,120.1434,15.3685,2.5817,4359.6201,26.66,10.4117,10.95
1410,910.029,38.7869,28.5068,118.2796,15.3512,2.5795,4272.6928,26.7725,10.2801,10.95
