,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
1286,730.359,39.9901,31.3336,127.6767,12.9844,2.7727,3901.8471,27.7416,8.6565,8.76
1287,731.351,40.104,31.085,127.5464,12.9415,2.7736,3870.9677,27.6795,9.019,8.76
1288,732.345,40.1238,31.248,127.364,12.8208,2.7696,3870.9677,28.5671,8.8758,8.76
1289,733.335,40.0955,31.1478,129.7617,12.8744,2.7706,3831.9069,27.2362,8.9477,8.76
1290,734.332,40.2346,31.1478,126.496,12.835,2.768,3751.7194,27.7521,9.0868,8.76
1291,735.331,40.1767,31.3228,132.6253,12.972,2.7736,3710.4221,27.0956,8.8539,8.76
1292,736.334,39.9981,31.1828,127.4471,12.7949,2.7746,3848.1271,28.5347,8.8153,8.76
1293,737.33,40.1666,31.2989,129.4233,12.9594,2.7741,3691.8532,28.0789,8.8677,8.76
1294,738.331,40.0178,31.2514,127.5372,12.8703,2.7738,3692.3076,27.839,8.7664,8.76
1295,739.336,39.9497,31.2964,132.5989,12.9271,2.788,3762.6989,28.1136,8.6533,8.76
1296,740.338,40.0808,31.214,134.7223,12.2847,2.8793,3683.6936,27.669,8.8668,8.76
1297,741.345,40.0698,31.1577,136.2789,12.2343,2.9353,3481.2209,29.2051,8.9121,8.76
1298,742.352,40.0758,31.4186,140.9738,11.5659,2.9668,3624.2097,29.3626,8.6572,8.76
1299,743.358,40.0677,31.0715,140.8146,11.6461,2.965,3646.9729,28.0617,8.9962,8.76
1300,744.368,40.0524,31.3939,135.914,11.6824,2.9628,3568.1718,28.3286,8.6585,8.76
1301,745.379,39.685,31.0199,138.1469,11.5769,2.9709,3599.8559,29.134,8.6651,8.76
1302,746.388,39.7911,31.2514,141.5705,11.3557,2.9641,3466.4714,29.6261,8.5397,8.76
1303,747.4,39.9339,31.3757,135.0277,11.778,2.9706,3458.0805,28.846,8.5582,8.76
1304,748.416,39.9934,31.0409,141.0753,11.6493,2.9671,3597.9851,27.6449,8.9525,8.76
1305,749.433,40.0049,31.0935,139.5894,11.5895,2.9703,3487.4257,29.6201,8.9114,8.76
1306,750.447,39.8793,31.2955,134.6674,11.7569,2.9688,3610.2531,28.8472,8.5838,8.76
1307,751.462,40.0121,31.4648,141.1274,11.4972,2.9753,3635.0417,27.7669,8.5473,8.76
1308,752.482,39.9679,31.3294,139.283,11.599,2.9733,3634.895,28.2901,8.6385,8.76
1309,753.5,39.9285,31.3492,138.6489,11.5179,2.9806,3567.8889,28.2103,8.5793,8.76
1310,754.521,39.7834,31.248,138.7553,11.7318,2.9766,3603.892,28.1504,8.5354,8.76
1311,755.543,40.0115,31.4087,139.7849,11.6273,2.9802,3650.6711,27.2545,8.6028,8.76
1312,756.568,40.1502,31.4346,141.3359,11.6793,3.007,3477.3203,28.3969,8.7156,8.76
1313,757.594,39.9438,31.4945,140.1629,11.0756,3.0627,3403.8046,27.3906,8.4493,8.76
1314,758.627,39.8975,31.3634,144.7768,10.9817,3.0735,3402.5178,27.0605,8.5341,8.76
1315,759.662,39.8788,31.6035,139.8871,10.6783,3.1351,3219.1142,27.857,8.2753,8.76
1316,760.701,39.9947,31.4846,149.8243,10.3125,3.1639,3458.3461,27.6952,8.5101,8.76
1317,761.734,39.9694,31.336,144.7768,10.1855,3.1641,3317.1162,27.9649,8.6334,8.76
1318,762.771,39.8827,31.2412,147.8788,10.1603,3.161,3245.8166,27.6396,8.6415,8.76
1319,763.812,39.9782,31.3946,147.9221,10.3039,3.1578,3285.3908,28.3704,8.5836,8.76
1320,764.851,39.8292,31.0718,141.5022,10.1574,3.154,3371.5441,27.7395,8.7574,8.76
1321,765.89,40.0015,31.4007,146.1388,10.359,3.1717,3329.6337,28.9192,8.6008,8.76
1322,766.927,39.9735,31.4348,146.5493,10.4716,3.1712,3298.9992,27.4019,8.5387,8.76
1323,767.972,39.859,31.3634,146.0541,10.1897,3.1645,3433.1489,28.4213,8.4956,8.76
1324,769.009,39.7316,31.1937,142.1047,10.2684,3.1572,3375.2109,26.9555,8.5379,8.76
